"safegraph_place_id","parent_safegraph_place_id","location_name","safegraph_brand_ids","brands","top_category","sub_category","naics_code","latitude","longitude","street_address","city","region","postal_code","iso_country_code","phone_number","open_hours","category_tags"
sg:19faff8ab64a40b9aefb15bdbad4e510,,Water Hill Creative,,,Motion Picture and Video Industries,Motion Picture Theaters (except Drive-Ins),512131,42.280347,-83.748978,206 S Main St Ste 201,Ann Arbor,MI,48104,US,,"{ ""Mon"": [[""9:00"", ""17:00""]], ""Tue"": [[""9:00"", ""17:00""]], ""Wed"": [[""9:00"", ""17:00""]], ""Thu"": [[""9:00"", ""17:00""]], ""Fri"": [[""9:00"", ""17:00""]], ""Sat"": [[""9:00"", ""17:00""]], ""Sun"": [[""9:00"", ""17:00""]] }",
sg:16a6b3c01d3744a1b9714e7ee64ed6a6,,Falling Rock Cafe and Book Store,,,Book Stores and News Dealers,Book Stores,451211,46.411231,-86.654834,104 E Munising Ave,Munising,MI,49862,US,+19063873008,"{ ""Mon"": [[""11:00"", ""15:00""]], ""Tue"": [[""11:00"", ""15:00""]], ""Wed"": [[""11:00"", ""20:00""]], ""Thu"": [[""11:00"", ""15:00""]], ""Fri"": [[""11:00"", ""15:00""]], ""Sat"": [[""9:00"", ""22:00""]], ""Sun"": [] }",
sg:25c4b05805cf4b85a064d55d8e29726f,,Toni's Country Kitchen,,,Bakeries and Tortilla Manufacturing,Retail Bakeries,311811,47.236555,-88.44235,79 3rd St,Laurium,MI,49913,US,+19063370611,,
sg:34f7c20b8ca646f3acf74d09d99a97f4,,Book Nook,,,Book Stores and News Dealers,Book Stores,451211,44.25225,-85.399855,120 E Pine St,Cadillac,MI,49601,US,+12317758171,,
sg:4bfc2fa08bbe43b989d1a9a0350723f2,,Classic Car Club Of America Museum,,,"Museums, Historical Sites, and Similar Institutions",Museums,712110,42.302567,-83.259236,6865 W Hickory Road,Dearborn,MI,48123,US,,,
sg:513e4e74c23f40dd82194637fe88a0a8,sg:e9983704f9b746c985115ae4b99a20a5,NCG Cinemas,SG_BRAND_f5f1b56fb5de5dd0,NCG Cinemas,Motion Picture and Video Industries,Motion Picture Theaters (except Drive-Ins),512131,42.764928,-84.515353,2500 Showtime Dr,Lansing,MI,48912,US,,,
sg:56b6492892bb423099af7b672af87dbd,,Upper Peninsula Children's Museum,,,"Museums, Historical Sites, and Similar Institutions",Museums,712110,46.54047,-87.394517,123 W Baraga Ave,Marquette,MI,49855,US,+19062263911,,
sg:5662b9769ee342cc8444b95bf240303b,,Stone Hearth of Brooklyn,,,Bakeries and Tortilla Manufacturing,Retail Bakeries,311811,42.099957,-84.247455,309 S Main St,Brooklyn,MI,49230,US,+15175924411,,
sg:7f32ccbadeb44118bef3d977b718aed0,,Pasty Shop,,,Bakeries and Tortilla Manufacturing,Retail Bakeries,311811,42.213382,-83.186528,13255 Northline Rd,Southgate,MI,48195,US,+17342814664,"{ ""Mon"": [], ""Tue"": [[""10:00"", ""17:00""]], ""Wed"": [[""10:00"", ""17:00""]], ""Thu"": [[""10:00"", ""17:00""]], ""Fri"": [[""10:00"", ""17:00""]], ""Sat"": [[""10:00"", ""16:00""]], ""Sun"": [] }",
sg:85473569383349719efae43a9feb5ac4,sg:238337e5073a46448e43538b7452d90c,Milford Cinema Theatre,,,Motion Picture and Video Industries,Motion Picture Theaters (except Drive-Ins),512131,42.596085,-83.589943,945 E Summit St,Milford,MI,48381,US,+12486852290,,
sg:ad16b2d284d64fb69b2b089bce2ccc96,,The Cottage Book Shop,,,Book Stores and News Dealers,Book Stores,451211,44.896762,-85.988417,5989 S Lake St,Glen Arbor,MI,49636,US,+12313344223,,
sg:ac01ac270beb429cbedc1945d593e62d,,Michigan Maritime Museum,,,"Museums, Historical Sites, and Similar Institutions",Museums,712110,42.406563,-86.274443,260 Dyckman Ave,South Haven,MI,49090,US,+12696378078,,
sg:f0aab19c3cfc4a6d8eaa97272bf2183e,,Dee's Specialty Cakes,,,Bakeries and Tortilla Manufacturing,Retail Bakeries,311811,42.015746,-86.514592,5606 Alpine Rdg,Stevensville,MI,49127,US,+12695569755,,
sg:b79bcd133516494aaca0cf778acae04b,,NCG Cinemas,SG_BRAND_f5f1b56fb5de5dd0,NCG Cinemas,Motion Picture and Video Industries,Motion Picture Theaters (except Drive-Ins),512131,43.195167,-85.250956,1500 N Lafayette St,Greenville,MI,48838,US,+16167545171,,
sg:cdc76f9f03d249bea6152a8c601a3ecf,,Warp 9 Comics,,,Book Stores and News Dealers,Book Stores,451211,42.53327,-83.146667,21 W 14 Mile Rd,Clawson,MI,48017,US,+12482885699,"{ ""Mon"": [[""11:00"", ""19:00""]], ""Tue"": [[""11:00"", ""19:00""]], ""Wed"": [[""11:00"", ""20:00""]], ""Thu"": [[""11:00"", ""19:00""]], ""Fri"": [[""11:00"", ""19:00""]], ""Sat"": [[""11:00"", ""19:00""]], ""Sun"": [[""12:00"", ""18:00""]] }",
sg:f3d78c611457417189e2a62fa2d933ea,,U S A Weekend,,,Book Stores and News Dealers,Book Stores,451211,42.560288,-83.140675,340 E Big Beaver Rd Ste 150,Troy,MI,48083,US,+12486801220,,
sg:e0b312473dc74b0a98d1554cee5026bc,,MJR Digital Cinemas,SG_BRAND_ab49d1ea4009e85e1da3e0071bd568b5,MJR Digital Cinemas,Motion Picture and Video Industries,Motion Picture Theaters (except Drive-Ins),512131,42.546535,-83.145048,100 E Maple Rd,Troy,MI,48083,US,+12484982100,"{ ""Mon"": [[""9:30"", ""22:30""]], ""Tue"": [[""9:30"", ""22:30""]], ""Wed"": [[""9:30"", ""22:30""]], ""Thu"": [[""9:30"", ""22:30""]], ""Fri"": [[""9:30"", ""22:30""]], ""Sat"": [[""9:30"", ""22:30""]], ""Sun"": [[""9:30"", ""22:30""]] }",
sg:d89073f5c6d94efebb3e050178ad3d2e,,Divine Dessert By Rena,,,Bakeries and Tortilla Manufacturing,Retail Bakeries,311811,42.326817,-83.293646,25930 Ford Rd,Dearborn Heights,MI,48127,US,+13132783322,,
sg:156a7c0b6c50468e9f994fd9ca77552f,,R W Bakers,,,Bakeries and Tortilla Manufacturing,Retail Bakeries,311811,43.146474,-86.217046,1129 E Mount Garfield Rd,Norton Shores,MI,49441,US,+12317999360,,
sg:1b45c0d30dec442b9b01d4885266268a,,Marcella's Market Fresh Bakery,,,Bakeries and Tortilla Manufacturing,Retail Bakeries,311811,43.065565,-83.838964,805 Chamberlain St,Flushing,MI,48433,US,+18104879107,"{ ""Mon"": [[""10:00"", ""18:00""]], ""Tue"": [[""8:00"", ""18:00""]], ""Wed"": [[""8:00"", ""18:00""]], ""Thu"": [[""8:00"", ""18:00""]], ""Fri"": [[""8:00"", ""18:00""]], ""Sat"": [[""8:00"", ""15:00""]], ""Sun"": [[""8:00"", ""15:00""]] }",
sg:3b2854210e1b4e0bb8036c5f8f1946f9,sg:eb206f4f06604d98bab632baeca8498e,Schuler Books & Music,,,Book Stores and News Dealers,Book Stores,451211,42.724597,-84.417926,1982 W Grand River Ave,Okemos,MI,48864,US,+15173498840,"{ ""Mon"": [[""9:00"", ""21:00""]], ""Tue"": [[""9:00"", ""21:00""]], ""Wed"": [[""9:00"", ""21:00""]], ""Thu"": [[""9:00"", ""21:00""]], ""Fri"": [[""9:00"", ""21:00""]], ""Sat"": [[""9:00"", ""21:00""]], ""Sun"": [[""11:00"", ""18:00""]] }",
sg:3b35a52c32624a9ca486d8f22fcdf7c2,,Pathfinder Museum,,,"Museums, Historical Sites, and Similar Institutions",Museums,712110,42.726665,-84.556666,320 W Saint Joseph St,Lansing,MI,48933,US,,,
sg:5aac5e268fbd4f04bc03f8516f6cf360,,Eup Fine Arts Council,,,Motion Picture and Video Industries,Motion Picture Theaters (except Drive-Ins),512131,45.994402,-83.902884,245 Erie St,De Tour Village,MI,49725,US,+19062972787,,
sg:6b576bae6d084af6ac9a45c6b2d7131b,,Cross Street Book Shop,,,Book Stores and News Dealers,Book Stores,451211,42.245556,-83.62004,523 W Cross St,Ypsilanti,MI,48197,US,+17344843000,,
sg:69510556565e4151b566ed53254f831f,sg:0ead11de8dff4eb1a43b849671d230de,Mrs. Fields Gifts,SG_BRAND_5bb4fd8e9e6b1fcf24c2f99ccb53f610,Mrs. Fields Gifts,Specialty Food Stores,Baked Goods Stores,445291,42.702411,-83.297375,4262 Baldwin Rd # 554,Auburn Hills,MI,48326,US,,,
sg:862dcff8820043dd8190baf3184f9e05,,Morning Fresh Bakeries,,,Bakeries and Tortilla Manufacturing,Retail Bakeries,311811,41.931775,-84.004842,3223 N Adrian Hwy,Adrian,MI,49221,US,,,
sg:899f9ddb3f564191893c6dbca816df47,,Renzema's Bakery,,,Bakeries and Tortilla Manufacturing,Retail Bakeries,311811,42.319602,-85.572252,214 Link Ln,Parchment,MI,49004,US,+12693492086,"{ ""Mon"": [[""0:00"", ""12:00""]], ""Tue"": [[""0:00"", ""12:00""]], ""Wed"": [[""0:00"", ""12:00""]], ""Thu"": [[""0:00"", ""12:00""]], ""Fri"": [[""0:00"", ""12:00""]], ""Sat"": [[""0:00"", ""12:00""]], ""Sun"": [] }",
sg:9886b23f91544ebd83d1bdf1a03804ca,,Nandis Knowledge Cafe,,,Book Stores and News Dealers,Book Stores,451211,42.403488,-83.109985,71 Oakman Blvd,Highland Park,MI,48203,US,+13138651288,"{ ""Mon"": [[""10:00"", ""18:00""]], ""Tue"": [[""10:00"", ""18:00""]], ""Wed"": [[""10:00"", ""18:00""]], ""Thu"": [[""10:00"", ""18:00""]], ""Fri"": [[""10:00"", ""18:00""]], ""Sat"": [[""10:00"", ""18:00""]], ""Sun"": [] }",
sg:9cdec0480c514c6c9caa4619ad78fab4,,Sugared Petal Cake Shoppe,,,Bakeries and Tortilla Manufacturing,Retail Bakeries,311811,42.137704,-83.247352,22091 West Rd,Woodhaven,MI,48183,US,+17346727344,"{ ""Mon"": [], ""Tue"": [[""8:00"", ""18:00""]], ""Wed"": [[""8:00"", ""18:00""]], ""Thu"": [[""8:00"", ""18:00""]], ""Fri"": [[""8:00"", ""18:00""]], ""Sat"": [[""8:00"", ""14:00""]], ""Sun"": [] }",
sg:9f3d898ed61f4dffa75372f5d897093f,,Lady Sarah's Magic Soiree,,,Motion Picture and Video Industries,Motion Picture Theaters (except Drive-Ins),512131,42.602768,-83.130158,5725 Rochester Rd,Troy,MI,48085,US,+15865565579,"{ ""Mon"": [], ""Tue"": [[""10:00"", ""17:00""]], ""Wed"": [[""10:00"", ""17:00""]], ""Thu"": [[""10:00"", ""17:00""]], ""Fri"": [[""10:00"", ""17:00""]], ""Sat"": [], ""Sun"": [] }",
sg:8b7a5f291a9e4ba6ab8b414225fa8151,sg:37048c28e62f4df6967ee928bffb8c6c,Luca Pastry,,,Bakeries and Tortilla Manufacturing,Retail Bakeries,311811,42.321998,-83.463698,42927 Ford Rd,Canton,MI,48187,US,+17349830050,"{ ""Mon"": [], ""Tue"": [[""8:00"", ""20:00""]], ""Wed"": [[""8:00"", ""20:00""]], ""Thu"": [[""8:00"", ""20:00""]], ""Fri"": [[""8:00"", ""20:00""]], ""Sat"": [[""8:00"", ""20:00""]], ""Sun"": [[""8:00"", ""16:00""]] }",
sg:a73a7f96027e499fbb941723487b659e,,Stone House Bread,,,Bakeries and Tortilla Manufacturing,Retail Bakeries,311811,44.731302,-85.625156,2425 Switch Dr Ste B,Traverse City,MI,49684,US,+12319338864,"{ ""Mon"": [[""8:00"", ""17:00""]], ""Tue"": [[""8:00"", ""17:00""]], ""Wed"": [[""8:00"", ""17:00""]], ""Thu"": [[""8:00"", ""17:00""]], ""Fri"": [[""8:00"", ""17:00""]], ""Sat"": [], ""Sun"": [] }",
sg:c4a891aae41546cb94a471525e58f630,,Bluestage Jams,,,Motion Picture and Video Industries,Motion Picture Theaters (except Drive-Ins),512131,42.165772,-84.255776,398 Brooklyn Rd,Jackson,MI,49201,US,,,
sg:c258aa69b36f4cf8a78207ce5610dc1a,sg:d8cc983bda9345719e526fc74daaf995,Phoenix Theatres,SG_BRAND_17c7dff1a7042629,Phoenix Theatres,Motion Picture and Video Industries,Motion Picture Theaters (except Drive-Ins),512131,42.414274,-83.417383,17310 N Laurel Park Dr,Livonia,MI,48152,US,,"{ ""Mon"": [[""9:00"", ""23:00""]], ""Tue"": [[""9:00"", ""23:00""]], ""Wed"": [[""9:00"", ""23:00""]], ""Thu"": [[""9:00"", ""23:00""]], ""Fri"": [[""9:00"", ""23:00""]], ""Sat"": [[""9:00"", ""23:00""]], ""Sun"": [[""9:00"", ""23:00""]] }",
sg:dfdc0f782e1b4c808ab7d74efdc3c579,,Too Little Time,,,Book Stores and News Dealers,Book Stores,451211,42.919993,-82.475775,1305 Gratiot Blvd,Marysville,MI,48040,US,+18103644590,,
sg:eea02f6f058846ffa64933e8798282e5,,Sea Sweet Bakery,,,Bakeries and Tortilla Manufacturing,Retail Bakeries,311811,42.859996,-85.621289,5710 Gentian Ct SE,Grand Rapids,MI,49508,US,+16169883998,,
sg:0231915ef4264360ba87dec3e4eff79c,sg:1cd3f06cb8374e2e89574cdd146544a7,South Campus Follett Bookstore,,,Book Stores and News Dealers,Book Stores,451211,42.503439,-82.97074,14500 E 12 Mile Rd,Warren,MI,48088,US,+15864453490,,
sg:2b2930c7d53e461fbb47fcc10d9873fa,,Wonderland Cinema,,,Motion Picture and Video Industries,Motion Picture Theaters (except Drive-Ins),512131,41.832057,-86.259124,402 N Front St,Niles,MI,49120,US,+12696831112,,
sg:776d40b12abf441d9f18c19c8698ea36,,Sweet & Sweeter,,,Bakeries and Tortilla Manufacturing,Retail Bakeries,311811,42.579694,-83.069367,4059 17 Mile Rd,Sterling Heights,MI,48310,US,+15869779338,"{ ""Mon"": [[""9:30"", ""21:00""]], ""Tue"": [[""9:30"", ""21:00""]], ""Wed"": [[""9:30"", ""21:00""]], ""Thu"": [[""9:30"", ""21:00""]], ""Fri"": [[""9:30"", ""21:30""]], ""Sat"": [[""9:30"", ""21:30""]], ""Sun"": [[""9:30"", ""20:00""]] }",
sg:54d3c21be46245c5a14b690c104a06db,,Mr Bread,,,Bakeries and Tortilla Manufacturing,Retail Bakeries,311811,43.033257,-83.656118,2709 Davison Rd,Flint,MI,48506,US,+18107673551,,
sg:b0ce95e1810247239a816de416404b8e,,Lakeshore Museum Center,,,"Museums, Historical Sites, and Similar Institutions",Museums,712110,45.422636,-83.819643,367 N 3rd St,Rogers City,MI,49779,US,,,
sg:7ec2b67ddb084447ae5ff37c86a48226,sg:0852b6c60d1a413c8ea1c36835464529,Barnes and Noble,SG_BRAND_0031e43e4f12b969239801d340f7c141,Barnes and Noble,Book Stores and News Dealers,Book Stores,451211,42.824168,-86.094786,3050 Beeline Rd Ste 50,Holland,MI,49424,US,+16169946015,"{ ""Mon"": [[""9:00"", ""21:00""]], ""Tue"": [[""9:00"", ""21:00""]], ""Wed"": [[""9:00"", ""21:00""]], ""Thu"": [[""9:00"", ""21:00""]], ""Fri"": [[""9:00"", ""21:00""]], ""Sat"": [[""9:00"", ""21:00""]], ""Sun"": [[""10:00"", ""19:00""]] }",
sg:a7b3ca071c7e43c1aecd39da086a444d,,National Museum Of The Tuskegee Airmen,,,"Museums, Historical Sites, and Similar Institutions",Museums,712110,42.309366,-83.114659,Historic Fort Wayne,Detroit,MI,48209,US,,,
sg:c518f1496b374ab4afa6ae1f360d2ee4,,Sun Theatre,,,Motion Picture and Video Industries,Motion Picture Theaters (except Drive-Ins),512131,42.689252,-84.284311,150 W Grand River Ave,Williamston,MI,48895,US,+15176551850,,
sg:ed8f02209c514d9b9ab693a4d9b71c95,,Semi Sweets,,,Bakeries and Tortilla Manufacturing,Retail Bakeries,311811,43.016869,-83.686936,300 E 1st St,Flint,MI,48502,US,+18106408504,"{ ""Mon"": [], ""Tue"": [[""9:00"", ""18:00""]], ""Wed"": [], ""Thu"": [[""9:00"", ""18:00""]], ""Fri"": [], ""Sat"": [[""8:00"", ""17:00""]], ""Sun"": [] }",
sg:eb4db70908454c1bac59bd6d38ca0265,,Cupcakes and Kisses,,,Bakeries and Tortilla Manufacturing,Retail Bakeries,311811,42.791634,-83.627923,108 S Saginaw St,Holly,MI,48442,US,+12483825314,"{ ""Mon"": [[""7:00"", ""21:00""]], ""Tue"": [[""7:00"", ""21:00""]], ""Wed"": [[""7:00"", ""21:00""]], ""Thu"": [[""7:00"", ""21:00""]], ""Fri"": [[""7:00"", ""21:00""]], ""Sat"": [[""7:00"", ""21:00""]], ""Sun"": [] }",
sg:ebb4eb10e76d4046b9e7116bbe75d2af,,Happy Owl Bookshop,,,Book Stores and News Dealers,Book Stores,451211,44.248188,-86.321631,358 River St,Manistee,MI,49660,US,+12318874411,"{ ""Mon"": [[""9:30"", ""18:00""]], ""Tue"": [[""9:30"", ""18:00""]], ""Wed"": [[""9:30"", ""18:00""]], ""Thu"": [[""9:30"", ""18:00""]], ""Fri"": [[""9:30"", ""19:00""]], ""Sat"": [[""9:30"", ""19:00""]], ""Sun"": [[""9:00"", ""17:00""]] }",
