safegraph_place_id,raw_visit_counts,raw_visitor_counts,visits_by_day,popularity_by_hour,popularity_by_day
sg:3fcff9cc789f4654b3aa425d10cbe9e4,201,68,"[9,8,11,15,9,7,7,5,2,9,11,9,10,3,2,6,6,6,4,8,5,3,5,0,4,6,5,4,5,9,8]","[22,18,17,19,21,19,20,25,44,48,57,60,56,50,47,41,35,32,28,23,27,28,22,22]","{""Monday"":29,""Tuesday"":34,""Wednesday"":36,""Thursday"":28,""Friday"":30,""Saturday"":20,""Sunday"":24}"
sg:61934e8b4bea47fa84cc0cbc2074ea98,65,59,"[2,0,0,4,2,3,3,3,1,5,2,0,2,7,1,0,1,1,1,1,2,3,1,0,0,4,4,6,3,1,2]","[0,0,0,0,0,0,1,1,4,2,12,15,14,24,22,17,11,8,1,4,1,1,1,0]","{""Monday"":3,""Tuesday"":8,""Wednesday"":7,""Thursday"":7,""Friday"":10,""Saturday"":18,""Sunday"":12}"
sg:f05d99cc252e4bb0b80f05042e9be14b,29,16,"[0,1,0,1,0,0,0,1,1,1,2,1,1,1,0,1,0,2,1,0,3,5,0,1,1,2,2,0,0,0,1]","[4,4,4,4,4,4,4,4,6,7,7,6,6,5,7,4,5,5,4,6,7,8,9,7]","{""Monday"":3,""Tuesday"":3,""Wednesday"":6,""Thursday"":4,""Friday"":3,""Saturday"":4,""Sunday"":6}"
sg:4bbc75b259a94286a08449853828871e,164,105,"[1,8,9,4,2,3,4,3,9,3,3,10,8,8,6,3,10,16,9,9,4,5,12,1,1,4,0,0,0,6,3]","[1,1,1,1,0,0,1,5,11,26,32,36,32,20,25,12,17,20,23,13,9,6,5,3]","{""Monday"":38,""Tuesday"":26,""Wednesday"":24,""Thursday"":25,""Friday"":20,""Saturday"":16,""Sunday"":15}"
sg:16129bd1636d414ab5c3fcf2848603d8,49,41,"[0,0,4,4,3,0,6,0,0,3,0,0,3,3,0,0,2,3,3,4,2,2,4,3,0,0,0,0,0,0,0]","[0,0,0,0,0,1,2,5,1,4,9,17,10,7,7,3,0,1,2,1,0,0,0,0]","{""Monday"":4,""Tuesday"":12,""Wednesday"":7,""Thursday"":6,""Friday"":7,""Saturday"":11,""Sunday"":2}"
sg:45cd0fb8cf7942088a62fd4196946cd7,50,21,"[0,1,0,0,0,1,2,1,3,0,0,1,4,0,0,1,0,0,2,0,0,1,1,0,0,9,6,4,5,5,3]","[9,9,7,7,7,7,7,7,12,13,13,11,9,13,10,8,15,13,13,9,10,9,8,8]","{""Monday"":11,""Tuesday"":3,""Wednesday"":0,""Thursday"":12,""Friday"":11,""Saturday"":6,""Sunday"":7}"
sg:8a68708f09f948919170beb2719cfb3e,35,22,"[1,1,3,0,1,1,1,0,1,2,2,2,1,0,0,0,2,2,2,3,1,1,2,1,0,1,1,2,0,1,0]","[3,1,0,0,0,0,0,0,1,2,2,10,12,19,21,7,1,4,1,2,0,0,1,1]","{""Monday"":5,""Tuesday"":8,""Wednesday"":4,""Thursday"":6,""Friday"":6,""Saturday"":4,""Sunday"":2}"
sg:9444f16fac0b4890947b83a096994ebc,17,12,"[1,0,1,0,0,1,0,2,0,0,1,1,0,0,0,0,0,0,1,0,2,2,0,2,0,0,0,2,1,0,0]","[0,0,0,0,0,0,0,0,0,0,2,0,4,5,3,2,3,1,0,1,1,1,1,0]","{""Monday"":0,""Tuesday"":3,""Wednesday"":1,""Thursday"":2,""Friday"":1,""Saturday"":4,""Sunday"":6}"
sg:35aa8a3e258e4e3ab5cc5357ced3abb1,164,86,"[6,6,9,8,6,9,6,6,7,7,4,6,4,2,9,4,3,8,7,4,3,4,5,3,2,4,5,5,6,4,2]","[11,11,9,9,10,10,9,13,19,29,37,42,33,30,24,26,18,19,20,14,13,7,10,12]","{""Monday"":25,""Tuesday"":24,""Wednesday"":22,""Thursday"":23,""Friday"":22,""Saturday"":17,""Sunday"":31}"
sg:eacd8c913a394c469bc1a27c5d84a254,29,24,"[1,1,0,1,2,1,1,3,1,0,2,0,0,0,1,1,0,1,1,0,3,1,1,0,1,1,0,2,1,0,2]","[0,0,0,0,0,0,0,1,1,1,2,0,1,2,2,7,3,3,7,0,2,0,0,0]","{""Monday"":4,""Tuesday"":2,""Wednesday"":5,""Thursday"":4,""Friday"":1,""Saturday"":6,""Sunday"":7}"
