"safegraph_place_id","location_name","street_address","city","region","postal_code","brands","date_range_start","date_range_end","raw_visit_counts","raw_visitor_counts","visits_by_day","visitor_home_cbgs","visitor_work_cbgs","visitor_country_of_origin","distance_from_home","median_dwell","bucketed_dwell_times","related_same_day_brand","related_same_month_brand","popularity_by_hour","popularity_by_day","device_type","iso_country_code"
sg:3fcff9cc789f4654b3aa425d10cbe9e4,Journals Unlimited the Write It Down Series,701 5th St,Bay City,MI,48708,,1575158400,1577836800,201,68,"[9,8,11,15,9,7,7,5,2,9,11,9,10,3,2,6,6,6,4,8,5,3,5,0,4,6,5,4,5,9,8]","{""260172803001"":7}","{""260172856004"":5,""260172865001"":5}","{""US"":57}",10088,51.0,"{""<5"":5,""5-20"":55,""21-60"":49,""61-240"":39,"">240"":53}","{""Chevrolet"":50,""American Freight"":40,""Burger King"":19,""Jo-Ann Fabric and Craft Stores"":14,""Dollar General"":11,""GCR Tire Centers"":10,""Taco Bell"":9}","{""Speedway"":33,""Meijer"":33,""McDonald's"":31,""Kroger"":21,""Walmart"":17,""BP"":16,""Dunham's Sports"":16,""Ollie's Bargain Outlet"":16,""Taco Bell"":14,""Walgreens"":14,""Covenant HealthCare"":13,""Applebee's"":13,""7-Eleven"":12,""Mobil"":11,""Rite Aid"":10,""Buffalo Wild Wings"":10,""Tim Hortons"":10,""Wendy's"":10,""Jo-Ann Fabric and Craft Stores"":9,""Cartridge World"":9}","[22,18,17,19,21,19,20,25,44,48,57,60,56,50,47,41,35,32,28,23,27,28,22,22]","{""Monday"":29,""Tuesday"":34,""Wednesday"":36,""Thursday"":28,""Friday"":30,""Saturday"":20,""Sunday"":24}","{""android"":49,""ios"":20}",US
sg:61934e8b4bea47fa84cc0cbc2074ea98,Michigan Museum Of Surveying,220 Museum Dr,Lansing,MI,48933,,1575158400,1577836800,65,59,"[2,0,0,4,2,3,3,3,1,5,2,0,2,7,1,0,1,1,1,1,2,3,1,0,0,4,4,6,3,1,2]",{},"{""260650067001"":5}","{""US"":58}",12391,49.0,"{""<5"":0,""5-20"":23,""21-60"":13,""61-240"":27,"">240"":2}","{""Meijer"":50}","{""Meijer"":56,""McDonald's"":38,""Speedway"":35,""Kohl's"":33,""Target"":31,""Biggby Coffee"":29,""Walmart"":23,""Culver's"":19,""Dollar Tree"":19,""Sunoco"":18,""Taco Bell"":18,""Kroger"":18,""BP"":17,""Goodwill Industries"":16,""Costco Wholesale Corp."":16,""Starbucks"":16,""The Home Depot"":16,""Sam's Club"":15,""Subway"":15,""Qdoba Mexican Grill"":15}","[0,0,0,0,0,0,1,1,4,2,12,15,14,24,22,17,11,8,1,4,1,1,1,0]","{""Monday"":3,""Tuesday"":8,""Wednesday"":7,""Thursday"":7,""Friday"":10,""Saturday"":18,""Sunday"":12}","{""android"":33,""ios"":26}",US
sg:f05d99cc252e4bb0b80f05042e9be14b,She Bakes Cupcakes,23541 Hill Ave,Warren,MI,48091,,1575158400,1577836800,29,16,"[0,1,0,1,0,0,0,1,1,1,2,1,1,1,0,1,0,2,1,0,3,5,0,1,1,2,2,0,0,0,1]",{},{},"{""US"":13}",11438,52.0,"{""<5"":0,""5-20"":5,""21-60"":11,""61-240"":5,"">240"":8}",{},"{""Meijer"":43,""Tim Hortons"":37,""Shell Oil"":31,""Subway"":30,""Mobil"":29,""Kroger"":29,""CVS"":26,""McDonald's"":23,""Speedway"":23,""Exxon Mobil"":23,""Family Dollar Stores"":22,""Comerica Bank"":19,""Rite Aid"":17,""7-Eleven"":16,""BP"":16,""Starbucks"":16,""Burger King"":14,""Taco Bell"":13,""Piercing Pagoda"":12,""Penn Station"":12}","[4,4,4,4,4,4,4,4,6,7,7,6,6,5,7,4,5,5,4,6,7,8,9,7]","{""Monday"":3,""Tuesday"":3,""Wednesday"":6,""Thursday"":4,""Friday"":3,""Saturday"":4,""Sunday"":6}","{""android"":10,""ios"":6}",US
sg:4bbc75b259a94286a08449853828871e,Book Cottage,1901 Horton Rd,Jackson,MI,49203,,1575158400,1577836800,164,105,"[1,8,9,4,2,3,4,3,9,3,3,10,8,8,6,3,10,16,9,9,4,5,12,1,1,4,0,0,0,6,3]","{""260750052004"":10,""260750052005"":8}",{},"{""US"":103}",6097,24.0,"{""<5"":6,""5-20"":64,""21-60"":52,""61-240"":39,"">240"":3}","{""PS Food Mart"":33,""Guitar Center"":33,""T.J. Maxx"":33,""Macy's"":16,""Henry Ford Health System"":12,""Biggby Coffee"":12,""Subway"":6}","{""Meijer"":49,""United States Postal Service (USPS)"":48,""BP"":47,""McDonald's"":42,""Mobil"":38,""Sam's Club"":33,""Biggby Coffee"":28,""Subway"":27,""Henry Ford Health System"":27,""Target"":26,""Wendy's"":25,""Shell Oil"":25,""Country Market"":25,""Walmart"":25,""Dollar General"":20,""Rite Aid"":20,""Jo-Ann Fabric and Craft Stores"":19,""PS Food Mart"":17,""Plato's Closet"":17,""T.J. Maxx"":17}","[1,1,1,1,0,0,1,5,11,26,32,36,32,20,25,12,17,20,23,13,9,6,5,3]","{""Monday"":38,""Tuesday"":26,""Wednesday"":24,""Thursday"":25,""Friday"":20,""Saturday"":16,""Sunday"":15}","{""android"":50,""ios"":55}",US
sg:16129bd1636d414ab5c3fcf2848603d8,Sandra Kay's,120 W John Beers Rd,Stevensville,MI,49127,,1575158400,1577836800,49,41,"[0,0,4,4,3,0,6,0,0,3,0,0,3,3,0,0,2,3,3,4,2,2,4,3,0,0,0,0,0,0,0]","{""260210016001"":6}",{},"{""US"":41}",6465,21.0,"{""<5"":2,""5-20"":22,""21-60"":20,""61-240"":5,"">240"":0}","{""Meijer"":33,""Dairy Queen"":33}","{""Meijer"":74,""Martin's Super Markets"":59,""Walgreens"":52,""Pri Mart"":51,""Shell Oil"":45,""Burger King"":27,""Dollar Tree"":23,""Culver's"":21,""Kohl's"":20,""Goodwill Industries"":20,""Jos. A. Bank Clothiers"":19,""BP"":19,""Lowe's"":18,""Cracker Barrel"":18,""Harding's Friendly Market"":17,""Celebration! Cinema"":17,""Domino's Pizza"":16,""ALDI"":16,""McDonald's"":15,""Starbucks"":15}","[0,0,0,0,0,1,2,5,1,4,9,17,10,7,7,3,0,1,2,1,0,0,0,0]","{""Monday"":4,""Tuesday"":12,""Wednesday"":7,""Thursday"":6,""Friday"":7,""Saturday"":11,""Sunday"":2}","{""android"":30,""ios"":11}",US
sg:45cd0fb8cf7942088a62fd4196946cd7,Northwest Michigan Maritime Museum,100 Coast Guard St,Frankfort,MI,49635,,1575158400,1577836800,50,21,"[0,1,0,0,0,1,2,1,3,0,0,1,4,0,0,1,0,0,2,0,0,1,1,0,0,9,6,4,5,5,3]",{},{},"{""US"":19}",210956,64.0,"{""<5"":1,""5-20"":9,""21-60"":14,""61-240"":12,"">240"":14}","{""Family Fare"":25}","{""McDonald's"":38,""Meijer"":37,""Burger King"":19,""Family Fare"":19,""Hallmark Cards"":18,""Subway"":17,""T.J. Maxx"":16,""Sam's Club"":15,""Starbucks"":14,""A&W Restaurants"":14,""Target"":14,""Little Caesars"":13,""Mobil"":12,""Walmart"":12,""Five Below"":12,""Arby's"":12,""PetSmart"":12,""Walgreens"":12,""Macy's"":12,""BP"":11}","[9,9,7,7,7,7,7,7,12,13,13,11,9,13,10,8,15,13,13,9,10,9,8,8]","{""Monday"":11,""Tuesday"":3,""Wednesday"":0,""Thursday"":12,""Friday"":11,""Saturday"":6,""Sunday"":7}","{""android"":9,""ios"":12}",US
sg:8a68708f09f948919170beb2719cfb3e,Cappon House Museum,31 W 10th St,Holland,MI,49423,,1575158400,1577836800,35,22,"[1,1,3,0,1,1,1,0,1,2,2,2,1,0,0,0,2,2,2,3,1,1,2,1,0,1,1,2,0,1,0]",{},{},"{""US"":20}",10936,45.0,"{""<5"":0,""5-20"":10,""21-60"":12,""61-240"":9,"">240"":4}","{""Zumiez"":100,""Applebee's"":50,""McDonald's"":30}","{""Meijer"":53,""Walgreens"":34,""J&H"":32,""Family Fare"":32,""Tim Hortons"":31,""TGI Fridays"":31,""McDonald's"":31,""Taco Bell"":31,""Dollar Tree"":30,""ALDI"":26,""Speedway"":25,""Biggby Coffee"":23,""Menard's"":22,""T.J. Maxx"":19,""Kohl's"":18,""The Home Depot"":18,""Burger King"":18,""Starbucks"":18,""Wendy's"":18,""Courtyard by Marriott"":18}","[3,1,0,0,0,0,0,0,1,2,2,10,12,19,21,7,1,4,1,2,0,0,1,1]","{""Monday"":5,""Tuesday"":8,""Wednesday"":4,""Thursday"":6,""Friday"":6,""Saturday"":4,""Sunday"":2}","{""android"":14,""ios"":8}",US
sg:9444f16fac0b4890947b83a096994ebc,La Eatrella Del Norte,2406 N Michigan Ave,Saginaw,MI,48602,,1575158400,1577836800,17,12,"[1,0,1,0,0,1,0,2,0,0,1,1,0,0,0,0,0,0,1,0,2,2,0,2,0,0,0,2,1,0,0]",{},{},"{""US"":12}",5349,6.0,"{""<5"":1,""5-20"":14,""21-60"":0,""61-240"":2,"">240"":0}","{""Little Caesars"":100}","{""Sam's Club"":55,""Walmart"":54,""Meijer"":49,""Speedway"":48,""Kohl's"":45,""McDonald's"":44,""Dollar Tree"":43,""Little Caesars"":40,""Kroger"":39,""Burger King"":37,""Menard's"":32,""KFC"":31,""JCPenney"":31,""7-Eleven"":31,""Family Dollar Stores"":30,""Taco Bell"":28,""Covenant HealthCare"":25,""Sky Zone"":25,""Dunham's Sports"":25,""Tim Hortons"":25}","[0,0,0,0,0,0,0,0,0,0,2,0,4,5,3,2,3,1,0,1,1,1,1,0]","{""Monday"":0,""Tuesday"":3,""Wednesday"":1,""Thursday"":2,""Friday"":1,""Saturday"":4,""Sunday"":6}","{""android"":10,""ios"":0}",US
sg:35aa8a3e258e4e3ab5cc5357ced3abb1,Comic Book Zen,1217 Griswold St,Port Huron,MI,48060,,1575158400,1577836800,164,86,"[6,6,9,8,6,9,6,6,7,7,4,6,4,2,9,4,3,8,7,4,3,4,5,3,2,4,5,5,6,4,2]","{""261476373001"":5,""261476220002"":5}",{},"{""US"":82}",7146,30.0,"{""<5"":5,""5-20"":61,""21-60"":36,""61-240"":41,"">240"":21}","{""Dollar General"":32,""McDonald's"":25,""Honda"":25,""Big Lots Stores"":25,""American Job Centers"":14,""T.J. Maxx"":14,""Taco Bell"":13}","{""Meijer"":45,""McDonald's"":43,""Ollie's Bargain Outlet"":31,""Dollar Tree"":29,""Speedway"":29,""Foster Blue Water Oil"":29,""SpeedyQ Market"":26,""Five Below"":24,""Sam's Club"":21,""Taco Bell"":20,""Dollar General"":19,""Mobil"":18,""Walmart"":17,""Walgreens"":16,""Wendy's"":16,""Burger King"":15,""BP"":14,""Family Dollar Stores"":13,""Menard's"":13,""LensCrafters"":13}","[11,11,9,9,10,10,9,13,19,29,37,42,33,30,24,26,18,19,20,14,13,7,10,12]","{""Monday"":25,""Tuesday"":24,""Wednesday"":22,""Thursday"":23,""Friday"":22,""Saturday"":17,""Sunday"":31}","{""android"":62,""ios"":24}",US
sg:eacd8c913a394c469bc1a27c5d84a254,Gold 'N Oven,4104 15 Mile Rd,Sterling Heights,MI,48310,,1575158400,1577836800,29,24,"[1,1,0,1,2,1,1,3,1,0,2,0,0,0,1,1,0,1,1,0,3,1,1,0,1,1,0,2,1,0,2]",{},{},"{""US"":22}",3251,7.0,"{""<5"":6,""5-20"":16,""21-60"":5,""61-240"":2,"">240"":0}",{},"{""Shell Oil"":52,""Speedway"":48,""Tim Hortons"":46,""Meijer"":41,""BP"":39,""McDonald's"":36,""CVS"":32,""7-Eleven"":31,""Lowe's"":29,""The Home Depot"":29,""Tesla Motors"":28,""Macy's"":27,""Kroger"":26,""Subway"":26,""Starbucks"":24,""Taco Bell"":24,""Costco Wholesale Corp."":21,""Walmart"":21,""Kohl's"":20,""Burger King"":20}","[0,0,0,0,0,0,0,1,1,1,2,0,1,2,2,7,3,3,7,0,2,0,0,0]","{""Monday"":4,""Tuesday"":2,""Wednesday"":5,""Thursday"":4,""Friday"":1,""Saturday"":6,""Sunday"":7}","{""android"":12,""ios"":12}",US
