year,month,state,num_visits,num_unique_visitors
2019,12,ALL_STATES,1073278638,40577097
2019,12,ak,1358235,74102
2019,12,al,23715692,958204
2019,12,ar,12092253,568471
2019,12,as,140,57
2019,12,az,21690533,1028953
2019,12,bc,120,76
2019,12,ca,115941063,4775874
2019,12,co,17453578,887341
2019,12,ct,8568238,536363
2019,12,dc,2591940,388709
2019,12,de,2695504,200920
2019,12,fl,86487030,3673607
2019,12,ga,43641206,1937765
2019,12,gu,43971,6372
2019,12,hi,5522518,212294
2019,12,ia,11240483,583148
2019,12,id,4472077,244214
2019,12,il,41039973,2066376
2019,12,in,21487480,1121446
2019,12,ks,10383079,532763
2019,12,ky,14490151,800059
2019,12,la,18195576,851362
2019,12,ma,15355916,963174
2019,12,md,16315111,958937
2019,12,me,2465292,146317
2019,12,mi,27932385,1328047
2019,12,mn,14880337,791749
2019,12,mo,23619744,1172906
2019,12,mp,76,24
2019,12,ms,12243125,605108
2019,12,mt,2368772,129121
2019,12,nb,14,12
2019,12,nc,36004381,1679756
2019,12,nd,2274181,142405
2019,12,ne,6931447,361485
2019,12,nh,3415289,226753
2019,12,nj,27533962,1538932
2019,12,nm,4648715,342926
2019,12,nv,12800404,707874
2019,12,ny,55319015,3367580
2019,12,oh,36725256,1759304
2019,12,ok,16240682,743098
2019,12,or,11124205,573340
2019,12,pa,34156191,2052900
2019,12,pr,724003,106173
2019,12,qc,134,55
2019,12,ri,2482904,180550
2019,12,sc,18766153,946730
2019,12,sd,2350710,138024
2019,12,tn,27161754,1364366
2019,12,tx,121297633,4478384
2019,12,ut,8473482,456750
2019,12,va,25395592,1333494
2019,12,vi,5303,1533
2019,12,vt,1106731,89181
2019,12,wa,18604118,930840
2019,12,wi,15352665,820097
2019,12,wv,4755333,320230
2019,12,wy,1336783,103491
