safegraph_place_id,raw_visit_counts,raw_visitor_counts,visits_by_day,popularity_by_hour,popularity_by_day
sg:3fcff9cc789f4654b3aa425d10cbe9e4,135,53,"[7,6,6,3,3,2,5,4,10,8,6,8,6,4,2,2,2,4,3,6,7,1,2,4,5,2,4,6,4]","[23,19,21,21,20,21,22,26,43,41,39,33,25,23,24,26,18,22,17,19,16,25,31,24]","{""Monday"":20,""Tuesday"":18,""Wednesday"":16,""Thursday"":18,""Friday"":25,""Saturday"":18,""Sunday"":20}"
sg:b9ea337732cd449c9fa419845dc84387,15,7,"[1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,0,0,1,2,1,1,1,2]","[0,0,0,0,0,0,0,0,7,8,11,11,8,7,5,4,2,2,2,1,0,0,0,0]","{""Monday"":3,""Tuesday"":3,""Wednesday"":1,""Thursday"":1,""Friday"":4,""Saturday"":3,""Sunday"":0}"
sg:f895789a38e24aa1ae24ab274cade7d4,7,7,"[0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1]","[0,0,0,0,0,0,0,0,0,1,1,3,1,1,0,0,0,1,1,0,0,0,0,0]","{""Monday"":0,""Tuesday"":0,""Wednesday"":0,""Thursday"":2,""Friday"":1,""Saturday"":3,""Sunday"":1}"
sg:61934e8b4bea47fa84cc0cbc2074ea98,87,74,"[4,3,0,1,1,5,2,8,6,1,0,0,0,2,8,2,3,3,1,5,2,3,7,2,1,3,4,7,3]","[0,0,0,0,0,0,1,1,2,9,8,20,29,32,29,30,18,7,2,1,0,0,0,0]","{""Monday"":6,""Tuesday"":5,""Wednesday"":5,""Thursday"":14,""Friday"":13,""Saturday"":26,""Sunday"":18}"
sg:f05d99cc252e4bb0b80f05042e9be14b,34,21,"[4,3,0,0,1,1,0,3,3,0,0,0,0,2,1,2,1,3,2,0,0,0,2,1,0,3,0,0,1]","[3,4,8,8,6,5,5,6,7,8,8,8,11,10,6,8,5,6,6,7,10,10,5,3]","{""Monday"":2,""Tuesday"":3,""Wednesday"":6,""Thursday"":1,""Friday"":3,""Saturday"":9,""Sunday"":10}"
sg:4bbc75b259a94286a08449853828871e,166,77,"[5,3,13,7,6,17,3,6,0,8,7,4,11,3,2,1,1,5,5,14,3,3,0,6,8,5,10,7,1]","[0,1,1,0,0,0,2,11,20,21,23,29,14,23,21,17,12,18,16,17,10,7,7,3]","{""Monday"":28,""Tuesday"":27,""Wednesday"":20,""Thursday"":52,""Friday"":18,""Saturday"":17,""Sunday"":4}"
sg:16129bd1636d414ab5c3fcf2848603d8,76,57,"[6,1,0,4,2,3,7,3,0,0,4,3,1,1,6,0,0,2,3,2,2,5,1,0,4,3,1,3,9]","[1,0,0,1,0,0,3,5,3,13,22,20,9,18,15,6,0,1,2,0,0,1,1,1]","{""Monday"":0,""Tuesday"":14,""Wednesday"":11,""Thursday"":7,""Friday"":13,""Saturday"":29,""Sunday"":2}"
sg:45cd0fb8cf7942088a62fd4196946cd7,69,23,"[4,0,0,0,2,0,1,2,0,0,2,0,0,6,14,10,0,6,2,2,6,5,1,0,0,1,0,2,1]","[24,27,27,27,26,26,25,26,27,18,16,12,12,9,7,10,10,14,9,21,24,24,27,26]","{""Monday"":0,""Tuesday"":8,""Wednesday"":5,""Thursday"":2,""Friday"":17,""Saturday"":26,""Sunday"":11}"
sg:10a8cfd087fa40e1a4ed392cb0754ecc,28,21,"[3,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,1,3,3,7,2,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,6,5,1,4,9,2,3,3,3,2,1,0,0]","{""Monday"":7,""Tuesday"":2,""Wednesday"":0,""Thursday"":0,""Friday"":1,""Saturday"":10,""Sunday"":8}"
sg:8a68708f09f948919170beb2719cfb3e,15,14,"[1,1,0,1,0,0,0,1,0,0,1,0,2,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,2]","[1,2,1,1,1,0,0,0,0,0,2,1,2,2,4,4,3,1,1,1,1,0,0,0]","{""Monday"":1,""Tuesday"":2,""Wednesday"":0,""Thursday"":2,""Friday"":2,""Saturday"":6,""Sunday"":2}"
