"safegraph_place_id","location_name","street_address","city","region","postal_code","brands","date_range_start","date_range_end","raw_visit_counts","raw_visitor_counts","visits_by_day","visitor_home_cbgs","visitor_work_cbgs","visitor_country_of_origin","distance_from_home","median_dwell","bucketed_dwell_times","related_same_day_brand","related_same_month_brand","popularity_by_hour","popularity_by_day","device_type","iso_country_code"
sg:3fcff9cc789f4654b3aa425d10cbe9e4,Journals Unlimited the Write It Down Series,701 5th St,Bay City,MI,48708,,1580515200,1583020800,135,53,"[7,6,6,3,3,2,5,4,10,8,6,8,6,4,2,2,2,4,3,6,7,1,2,4,5,2,4,6,4]","{""260172803001"":8}",{},"{""US"":49}",6849,65.0,"{""<5"":2,""5-20"":39,""21-60"":25,""61-240"":34,"">240"":35}","{""Marathon"":25,""Rally's Drive-In Restaurants"":17,""Lincoln"":17,""Taco Bell"":13}","{""Meijer"":37,""McDonald's"":32,""Marathon"":25,""Speedway"":25,""Taco Bell"":22,""Mobil"":21,""Burger King"":21,""Tim Hortons"":19,""BP"":18,""Chevrolet"":16,""Walmart"":16,""Planet Fitness"":15,""Family Dollar Stores"":14,""Dollar General"":14,""Forward"":13,""7-Eleven"":13,""Ford Motor Company"":12,""Buffalo Wild Wings"":12,""Applebee's"":11,""Shell Oil"":11}","[23,19,21,21,20,21,22,26,43,41,39,33,25,23,24,26,18,22,17,19,16,25,31,24]","{""Monday"":20,""Tuesday"":18,""Wednesday"":16,""Thursday"":18,""Friday"":25,""Saturday"":18,""Sunday"":20}","{""android"":38,""ios"":15}",US
sg:b9ea337732cd449c9fa419845dc84387,Self Esteem Shop,9568 Marine City Hwy,Casco,MI,48064,,1580515200,1583020800,15,7,"[1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,0,0,1,2,1,1,1,2]",{},{},"{""US"":7}",9711,235.0,"{""<5"":0,""5-20"":7,""21-60"":0,""61-240"":1,"">240"":7}",{},"{""Meijer"":56,""Marathon"":41,""AutoZone"":41,""BP"":40,""Taco Bell"":38,""Dollar General"":38,""McDonald's"":31,""Ruby Tuesday"":28,""Tropical Smoothie Café"":28,""Tractor Supply Co."":28,""JCPenney"":28,""Rite Aid"":28,""Macy's"":27,""Panera Bread"":27,""Kohl's"":27,""Burger King"":25,""Wendy's"":24,""Dollar Tree"":24,""Shell Oil"":23,""Target"":22}","[0,0,0,0,0,0,0,0,7,8,11,11,8,7,5,4,2,2,2,1,0,0,0,0]","{""Monday"":3,""Tuesday"":3,""Wednesday"":1,""Thursday"":1,""Friday"":4,""Saturday"":3,""Sunday"":0}","{""android"":0,""ios"":5}",US
sg:f895789a38e24aa1ae24ab274cade7d4,The Bread Guy,411 Hancock St,Saginaw,MI,48602,,1580515200,1583020800,7,7,"[0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1]",{},{},"{""US"":6}",16750,21.0,"{""<5"":0,""5-20"":3,""21-60"":3,""61-240"":1,"">240"":0}",{},"{""Meijer"":56,""Sam's Club"":54,""Starbucks"":49,""Forward"":43,""The Home Depot"":39,""McDonald's"":31,""NCG Cinemas"":29,""TCC"":28,""At Home"":28,""Tim Hortons"":28,""Bob Evans"":28,""ALDI"":27,""Marathon"":27,""Mobil"":27,""Chipotle Mexican Grill"":27,""United States Postal Service (USPS)"":27,""7-Eleven"":26,""BP"":26,""Dollar General"":23,""Shell Oil"":23}","[0,0,0,0,0,0,0,0,0,1,1,3,1,1,0,0,0,1,1,0,0,0,0,0]","{""Monday"":0,""Tuesday"":0,""Wednesday"":0,""Thursday"":2,""Friday"":1,""Saturday"":3,""Sunday"":1}","{""android"":0,""ios"":0}",US
sg:61934e8b4bea47fa84cc0cbc2074ea98,Michigan Museum Of Surveying,220 Museum Dr,Lansing,MI,48933,,1580515200,1583020800,87,74,"[4,3,0,1,1,5,2,8,6,1,0,0,0,2,8,2,3,3,1,5,2,3,7,2,1,3,4,7,3]",{},"{""260650067001"":7}","{""US"":73}",20940,61.0,"{""<5"":3,""5-20"":18,""21-60"":22,""61-240"":41,"">240"":3}","{""Comerica Bank"":33,""Cottage Inn Pizza"":12}","{""Meijer"":64,""Speedway"":27,""McDonald's"":25,""Biggby Coffee"":20,""Subway"":18,""Kroger"":17,""Target"":16,""Wendy's"":15,""Qdoba Mexican Grill"":14,""Taco Bell"":14,""Shell Oil"":13,""Culver's"":13,""Walmart"":12,""Menard's"":11,""Mobil"":11,""Victoria's Secret"":11,""Applebee's"":10,""Costco Wholesale Corp."":10,""GameStop"":10,""Big Lots Stores"":10}","[0,0,0,0,0,0,1,1,2,9,8,20,29,32,29,30,18,7,2,1,0,0,0,0]","{""Monday"":6,""Tuesday"":5,""Wednesday"":5,""Thursday"":14,""Friday"":13,""Saturday"":26,""Sunday"":18}","{""android"":42,""ios"":32}",US
sg:f05d99cc252e4bb0b80f05042e9be14b,She Bakes Cupcakes,23541 Hill Ave,Warren,MI,48091,,1580515200,1583020800,34,21,"[4,3,0,0,1,1,0,3,3,0,0,0,0,2,1,2,1,3,2,0,0,0,2,1,0,3,0,0,1]",{},{},"{""US"":17}",11552,84.0,"{""<5"":0,""5-20"":2,""21-60"":11,""61-240"":12,"">240"":9}","{""Johnny's Markets"":33}","{""Kroger"":22,""Meijer"":18,""Tim Hortons"":14,""Tesla Motors"":14,""BP"":12,""CVS"":10,""Maggiano's Little Italy"":9,""Staybridge Suites"":9,""Qdoba Mexican Grill"":9,""Walgreens"":9,""Anytime Fitness"":9,""Culver's"":9,""Michaels Stores"":8,""Marathon"":8,""Mobil"":8,""Applebee's"":8,""Speedway"":8,""7-Eleven"":7,""McDonald's"":7,""Starbucks"":7}","[3,4,8,8,6,5,5,6,7,8,8,8,11,10,6,8,5,6,6,7,10,10,5,3]","{""Monday"":2,""Tuesday"":3,""Wednesday"":6,""Thursday"":1,""Friday"":3,""Saturday"":9,""Sunday"":10}","{""android"":13,""ios"":8}",US
sg:4bbc75b259a94286a08449853828871e,Book Cottage,1901 Horton Rd,Jackson,MI,49203,,1580515200,1583020800,166,77,"[5,3,13,7,6,17,3,6,0,8,7,4,11,3,2,1,1,5,5,14,3,3,0,6,8,5,10,7,1]","{""260750052004"":10,""260750052005"":8,""260750008003"":5}",{},"{""US"":74}",4606,16.5,"{""<5"":3,""5-20"":84,""21-60"":50,""61-240"":24,"">240"":5}","{""BP"":66,""Biggby Coffee"":33,""United States Postal Service (USPS)"":33,""Mobil"":16,""Country Market"":11,""Meijer"":8}","{""BP"":41,""Meijer"":41,""Mobil"":31,""Wendy's"":31,""Henry Ford Health System"":29,""Subway"":28,""Walmart"":28,""Kelly Express Mart"":27,""United States Postal Service (USPS)"":25,""Dollar General"":25,""Biggby Coffee"":25,""Rite Aid"":24,""Target"":23,""Country Market"":22,""American 1 Credit Union"":22,""McDonald's"":22,""Sam's Club"":19,""Menard's"":19,""Shell Oil"":18,""Speedway"":18}","[0,1,1,0,0,0,2,11,20,21,23,29,14,23,21,17,12,18,16,17,10,7,7,3]","{""Monday"":28,""Tuesday"":27,""Wednesday"":20,""Thursday"":52,""Friday"":18,""Saturday"":17,""Sunday"":4}","{""android"":29,""ios"":48}",US
sg:16129bd1636d414ab5c3fcf2848603d8,Sandra Kay's,120 W John Beers Rd,Stevensville,MI,49127,,1580515200,1583020800,76,57,"[6,1,0,4,2,3,7,3,0,0,4,3,1,1,6,0,0,2,3,2,2,5,1,0,4,3,1,3,9]","{""260210016001"":10,""260210110002"":5}",{},"{""US"":55}",6962,31.5,"{""<5"":3,""5-20"":26,""21-60"":34,""61-240"":13,"">240"":0}","{""YMCA"":11}","{""Meijer"":64,""Martin's Super Markets"":51,""Walgreens"":35,""McDonald's"":34,""Lowe's"":34,""Shell Oil"":33,""Pri Mart"":28,""T.J. Maxx"":28,""Harding's Friendly Market"":26,""Biggby Coffee"":24,""Walmart"":24,""Dollar General"":23,""Culver's"":22,""Dollar Tree"":22,""Celebration! Cinema"":19,""Speedway"":19,""Arby's"":19,""Taco Bell"":18,""ALDI"":18,""Family Dollar Stores"":17}","[1,0,0,1,0,0,3,5,3,13,22,20,9,18,15,6,0,1,2,0,0,1,1,1]","{""Monday"":0,""Tuesday"":14,""Wednesday"":11,""Thursday"":7,""Friday"":13,""Saturday"":29,""Sunday"":2}","{""android"":37,""ios"":20}",US
sg:45cd0fb8cf7942088a62fd4196946cd7,Northwest Michigan Maritime Museum,100 Coast Guard St,Frankfort,MI,49635,,1580515200,1583020800,69,23,"[4,0,0,0,2,0,1,2,0,0,2,0,0,6,14,10,0,6,2,2,6,5,1,0,0,1,0,2,1]",{},{},"{""US"":23}",189105,124.0,"{""<5"":0,""5-20"":8,""21-60"":17,""61-240"":16,"">240"":28}",{},"{""Family Fare"":30,""Meijer"":30,""Shell Oil"":25,""Walgreens"":16,""Dick's Sporting Goods"":16,""Panera Bread"":16,""Kohl's"":15,""Target"":15,""Kroger"":15,""BP"":15,""McDonald's"":14,""Costco Wholesale Corp."":14,""Wesco Convenience Store"":13,""Blain’s Farm & Fleet"":13,""Hallmark Cards"":12,""Anytime Fitness"":12,""CrossFit"":12,""T.J. Maxx"":11,""The Home Depot"":9,""Burger King"":9}","[24,27,27,27,26,26,25,26,27,18,16,12,12,9,7,10,10,14,9,21,24,24,27,26]","{""Monday"":0,""Tuesday"":8,""Wednesday"":5,""Thursday"":2,""Friday"":17,""Saturday"":26,""Sunday"":11}","{""android"":7,""ios"":16}",US
sg:10a8cfd087fa40e1a4ed392cb0754ecc,Keller's Farm Bakery,23888 Haggerty Rd,Belleville,MI,48111,,1580515200,1583020800,28,21,"[3,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,1,3,3,7,2,0,0,0,0]",{},{},"{""US"":21}",9006,8.0,"{""<5"":1,""5-20"":21,""21-60"":1,""61-240"":5,"">240"":0}","{""Dollar General"":65}","{""Taco Bell"":43,""Meijer"":42,""Speedway"":41,""Walmart"":39,""Dollar General"":38,""Applebee's"":36,""Target"":36,""BP"":35,""CVS"":34,""Tim Hortons"":33,""Arby's"":31,""Mobil"":27,""GameStop"":26,""McDonald's"":26,""Family Dollar Stores"":26,""The Home Depot"":25,""Leo's Coney Island"":24,""A&W Restaurants"":24,""Culver's"":23,""Emagine Entertainment"":19}","[0,0,0,0,0,0,0,0,0,0,0,6,5,1,4,9,2,3,3,3,2,1,0,0]","{""Monday"":7,""Tuesday"":2,""Wednesday"":0,""Thursday"":0,""Friday"":1,""Saturday"":10,""Sunday"":8}","{""android"":14,""ios"":7}",US
sg:8a68708f09f948919170beb2719cfb3e,Cappon House Museum,31 W 10th St,Holland,MI,49423,,1580515200,1583020800,15,14,"[1,1,0,1,0,0,0,1,0,0,1,0,2,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,2]",{},{},"{""US"":13}",2151,19.0,"{""<5"":0,""5-20"":9,""21-60"":2,""61-240"":3,"">240"":1}",{},"{""McDonald's"":38,""Tim Hortons"":35,""Speedway"":34,""Goodwill Industries"":26,""Dollar General"":23,""Family Fare"":21,""Panera Bread"":20,""Family Dollar Stores"":19,""Taco Bell"":17,""Dollar Tree"":17,""Shell Oil"":16,""J&H"":14,""Biggby Coffee"":14,""Jet's Pizza"":14,""Snap Fitness"":14,""TGI Fridays"":14,""Courtyard by Marriott"":14,""Ford Motor Company"":14,""Meijer"":13,""Macy's"":13}","[1,2,1,1,1,0,0,0,0,0,2,1,2,2,4,4,3,1,1,1,1,0,0,0]","{""Monday"":1,""Tuesday"":2,""Wednesday"":0,""Thursday"":2,""Friday"":2,""Saturday"":6,""Sunday"":2}","{""android"":5,""ios"":9}",US
