"safegraph_place_id","location_name","street_address","city","region","postal_code","brands","date_range_start","date_range_end","raw_visit_counts","raw_visitor_counts","visits_by_day","visitor_home_cbgs","visitor_work_cbgs","visitor_country_of_origin","distance_from_home","median_dwell","bucketed_dwell_times","related_same_day_brand","related_same_month_brand","popularity_by_hour","popularity_by_day","device_type","iso_country_code"
sg:3fcff9cc789f4654b3aa425d10cbe9e4,Journals Unlimited the Write It Down Series,701 5th St,Bay City,MI,48708,,1577836800,1580515200,179,65,"[3,9,8,4,4,5,8,11,8,5,7,2,6,3,6,9,2,5,5,7,7,3,7,6,1,4,4,10,5,4,11]","{""260172803001"":10}","{""260172865001"":5}","{""US"":61}",6816,80.0,"{""<5"":6,""5-20"":43,""21-60"":28,""61-240"":45,"">240"":57}","{""Buffalo Wild Wings"":33,""Tim Hortons"":17,""Jo-Ann Fabric and Craft Stores"":17,""Domino's Pizza"":12,""Buick"":11}","{""Meijer"":39,""McDonald's"":34,""Speedway"":27,""Kroger"":22,""Buffalo Wild Wings"":20,""Walmart"":18,""Menard's"":18,""BP"":17,""Taco Bell"":17,""Jo-Ann Fabric and Craft Stores"":16,""7-Eleven"":16,""Ollie's Bargain Outlet"":15,""Tim Hortons"":15,""Planet Fitness"":13,""Culver's"":13,""Buick"":12,""Subway"":12,""Mobil"":11,""GMC (General Motors Company)"":10,""Chevrolet"":10}","[36,39,38,39,39,40,37,37,55,53,50,45,38,37,35,38,39,39,26,27,28,35,40,42]","{""Monday"":22,""Tuesday"":31,""Wednesday"":28,""Thursday"":37,""Friday"":29,""Saturday"":17,""Sunday"":15}","{""android"":47,""ios"":18}",US
sg:68deb43600324c8f969b8a20311452ac,The Cheesecake Shoppe,23409 Greater Mack Ave,Saint Clair Shores,MI,48080,,1577836800,1580515200,9,9,"[0,0,1,0,0,0,0,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0]",{},{},"{""US"":9}",5274,138.0,"{""<5"":0,""5-20"":3,""21-60"":1,""61-240"":5,"">240"":0}",{},"{""The Home Depot"":40,""1000 Degrees Neapolitan Pizzeria"":33,""Hallmark Cards"":32,""Meijer"":32,""Sunoco"":32,""Speedway"":31,""Target"":27,""Belle Tire"":22,""Tim Hortons"":22,""Sears Home Services"":21,""Rite Aid"":21,""McDonald's"":21,""Marathon"":21,""Valero Energy"":20,""Planet Fitness"":20,""Kohl's"":20,""Kroger"":20,""Burger King"":18,""Dollar General"":17,""Walgreens"":16}","[0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,1,2,3,3,3,3,1]","{""Monday"":1,""Tuesday"":1,""Wednesday"":2,""Thursday"":1,""Friday"":3,""Saturday"":1,""Sunday"":0}","{""android"":9,""ios"":0}",US
sg:61934e8b4bea47fa84cc0cbc2074ea98,Michigan Museum Of Surveying,220 Museum Dr,Lansing,MI,48933,,1577836800,1580515200,99,86,"[0,9,4,4,2,3,2,4,4,6,2,3,4,3,2,0,9,5,3,4,2,4,1,3,4,1,3,1,1,2,4]",{},"{""260650067001"":10}","{""US"":77}",18741,64.0,"{""<5"":3,""5-20"":20,""21-60"":22,""61-240"":45,"">240"":9}","{""Applebee's"":50}","{""Meijer"":52,""Speedway"":24,""McDonald's"":22,""Biggby Coffee"":21,""Target"":20,""Kroger"":18,""Applebee's"":14,""Culver's"":13,""Walmart"":12,""Sam's Club"":11,""Kohl's"":10,""Dollar Tree"":10,""ALDI"":10,""Menard's"":10,""Subway"":9,""NCG Cinemas"":9,""Spencer's"":9,""Arby's"":9,""The Home Depot"":8,""Wendy's"":8}","[1,1,1,1,2,2,1,2,9,17,25,35,31,30,36,25,16,5,5,4,2,2,2,2]","{""Monday"":14,""Tuesday"":8,""Wednesday"":11,""Thursday"":16,""Friday"":26,""Saturday"":15,""Sunday"":9}","{""android"":48,""ios"":38}",US
sg:b9ea337732cd449c9fa419845dc84387,Self Esteem Shop,9568 Marine City Hwy,Casco,MI,48064,,1577836800,1580515200,10,7,"[0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,1,1,0,0,0,0,1,1]",{},{},"{""US"":7}",10015,11.5,"{""<5"":0,""5-20"":7,""21-60"":0,""61-240"":0,"">240"":3}",{},"{""Meijer"":70,""Kroger"":69,""Taco Bell"":52,""Tim Hortons"":43,""Jeep"":42,""Chrysler"":42,""Ram"":42,""Dodge"":42,""Menard's"":42,""Costco Wholesale Corp."":39,""Dollar Tree"":38,""Subway"":36,""The Original Buscemis"":29,""Gordon Food Service Store"":28,""Jet's Pizza"":28,""9Round"":28,""Del Taco"":28,""Anytime Fitness"":28,""Texas Roadhouse"":27,""Little Caesars"":27}","[0,0,0,0,0,0,0,0,4,3,7,4,3,1,1,0,0,0,0,0,2,0,0,0]","{""Monday"":2,""Tuesday"":1,""Wednesday"":1,""Thursday"":1,""Friday"":4,""Saturday"":1,""Sunday"":0}","{""android"":0,""ios"":0}",US
sg:f895789a38e24aa1ae24ab274cade7d4,The Bread Guy,411 Hancock St,Saginaw,MI,48602,,1577836800,1580515200,6,6,"[0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0]",{},{},"{""US"":6}",5150,21.5,"{""<5"":0,""5-20"":3,""21-60"":2,""61-240"":0,"">240"":1}",{},"{""Meijer"":66,""Pearle Vision"":33,""Menard's"":32,""ALDI"":32,""Speedway"":31,""GameStop"":31,""Walmart"":31,""Dollar General"":28,""Walgreens"":28,""Starbucks"":25,""McDonald's"":21,""Liberty Mutual Insurance"":17,""Cottage Inn Pizza"":17,""Covenant HealthCare"":17,""HopCat"":17,""J&H"":17,""Forward"":17,""AccuQuest Hearing Centers"":17,""MJR Digital Cinemas"":17,""American Freight"":17}","[0,0,0,1,1,1,1,1,1,1,2,1,1,2,2,2,1,0,2,0,0,0,0,0]","{""Monday"":0,""Tuesday"":0,""Wednesday"":0,""Thursday"":1,""Friday"":3,""Saturday"":1,""Sunday"":1}","{""android"":5,""ios"":0}",US
sg:f05d99cc252e4bb0b80f05042e9be14b,She Bakes Cupcakes,23541 Hill Ave,Warren,MI,48091,,1577836800,1580515200,56,20,"[1,1,2,2,4,3,4,0,3,0,1,2,0,2,2,5,0,2,3,4,1,0,0,1,1,3,1,2,3,2,1]",{},{},"{""US"":18}",6238,99.5,"{""<5"":1,""5-20"":16,""21-60"":8,""61-240"":14,"">240"":17}",{},"{""Tim Hortons"":30,""Meijer"":29,""Marathon"":19,""Speedway"":18,""7-Eleven"":17,""Kroger"":17,""Family Dollar Stores"":17,""Taco Bell"":15,""Rite Aid"":14,""Mobil"":13,""Sunoco"":13,""CVS"":10,""Chicken Shack"":10,""1000 Degrees Neapolitan Pizzeria"":10,""Buy Buy Baby"":10,""Gordon Food Service Store"":10,""Freshii"":10,""Discount Tire"":10,""Einstein Brothers"":10,""Hallmark Cards"":9}","[15,16,15,17,15,15,11,14,15,20,13,12,15,11,10,9,11,10,7,13,15,16,18,17]","{""Monday"":8,""Tuesday"":10,""Wednesday"":6,""Thursday"":11,""Friday"":3,""Saturday"":6,""Sunday"":12}","{""android"":17,""ios"":0}",US
sg:16129bd1636d414ab5c3fcf2848603d8,Sandra Kay's,120 W John Beers Rd,Stevensville,MI,49127,,1577836800,1580515200,31,20,"[0,1,1,0,1,0,0,1,0,3,0,2,0,0,1,0,0,0,0,1,1,0,1,3,5,0,0,2,2,1,5]",{},{},"{""US"":19}",6284,20.0,"{""<5"":0,""5-20"":17,""21-60"":13,""61-240"":1,"">240"":0}","{""McDonald's"":47}","{""Meijer"":74,""Pri Mart"":50,""Martin's Super Markets"":50,""Celebration! Cinema"":35,""Shell Oil"":34,""Lowe's"":31,""Harding's Friendly Market"":30,""T.J. Maxx"":28,""Mitsubishi Motors"":25,""Hyundai Motor"":25,""Toyota"":24,""CITGO"":24,""Panera Bread"":23,""Costco Wholesale Corp."":21,""Walmart"":21,""Dollar General"":20,""Discount Tire"":20,""Qdoba Mexican Grill"":20,""Menard's"":19,""Best Buy"":19}","[0,0,0,0,0,0,0,1,1,1,7,7,9,5,4,1,0,1,1,3,1,1,1,0]","{""Monday"":1,""Tuesday"":5,""Wednesday"":4,""Thursday"":3,""Friday"":10,""Saturday"":5,""Sunday"":3}","{""android"":12,""ios"":8}",US
sg:45cd0fb8cf7942088a62fd4196946cd7,Northwest Michigan Maritime Museum,100 Coast Guard St,Frankfort,MI,49635,,1577836800,1580515200,97,27,"[4,3,5,0,1,2,1,4,2,4,1,1,1,3,3,2,5,10,0,3,2,5,2,7,6,1,7,2,4,3,3]",{},{},"{""US"":25}",180434,123.0,"{""<5"":1,""5-20"":11,""21-60"":15,""61-240"":43,"">240"":27}",{},"{""Meijer"":47,""Target"":19,""Family Fare"":18,""Panera Bread"":17,""BP"":16,""Costco Wholesale Corp."":15,""Applebee's"":13,""Speedway"":13,""Kohl's"":12,""Subway"":12,""Art Van Furniture"":11,""The Home Depot"":11,""Taco Bell"":10,""Hobby Lobby Stores"":10,""Walgreens"":9,""Sam's Club"":8,""Lowe's"":7,""Celebration! Cinema"":7,""Wesco Convenience Store"":7,""Sleep Inn"":7}","[19,17,18,19,19,19,18,23,24,26,23,24,20,23,27,28,20,13,10,11,13,13,20,19]","{""Monday"":13,""Tuesday"":9,""Wednesday"":20,""Thursday"":12,""Friday"":23,""Saturday"":17,""Sunday"":3}","{""android"":18,""ios"":9}",US
sg:4bbc75b259a94286a08449853828871e,Book Cottage,1901 Horton Rd,Jackson,MI,49203,,1577836800,1580515200,168,89,"[0,8,5,6,0,6,2,8,12,1,2,3,5,6,6,15,5,2,1,8,8,7,13,4,3,2,8,4,7,10,1]","{""260750052004"":6,""260750052005"":5,""260750056001"":5}",{},"{""US"":83}",7108,25.0,"{""<5"":2,""5-20"":74,""21-60"":66,""61-240"":26,"">240"":0}","{""Cold Stone Creamery"":17,""PS Food Mart"":14,""Honda"":14,""The Home Depot"":10}","{""Meijer"":48,""Wendy's"":32,""Mobil"":29,""BP"":28,""Sam's Club"":27,""Biggby Coffee"":27,""United States Postal Service (USPS)"":25,""Henry Ford Health System"":25,""Big Lots Stores"":25,""Subway"":24,""Shell Oil"":23,""McDonald's"":22,""Dollar General"":22,""Walmart"":21,""Lowe's"":21,""Speedway"":19,""Country Market"":19,""Kelly Express Mart"":16,""PS Food Mart"":16,""Outback Steakhouse"":15}","[1,1,0,0,0,0,2,8,20,21,28,36,19,15,20,16,10,18,14,14,6,5,4,2]","{""Monday"":27,""Tuesday"":20,""Wednesday"":28,""Thursday"":58,""Friday"":16,""Saturday"":13,""Sunday"":6}","{""android"":44,""ios"":45}",US
sg:8a68708f09f948919170beb2719cfb3e,Cappon House Museum,31 W 10th St,Holland,MI,49423,,1577836800,1580515200,35,25,"[0,1,1,2,0,1,2,1,1,0,1,0,2,0,0,3,1,1,0,5,0,1,4,0,2,0,0,3,1,1,1]",{},{},"{""US"":23}",6336,52.0,"{""<5"":0,""5-20"":7,""21-60"":13,""61-240"":13,"">240"":2}",{},"{""Meijer"":67,""Tim Hortons"":32,""Speedway"":30,""Walmart"":29,""Starbucks"":28,""Family Fare"":24,""Biggby Coffee"":24,""McDonald's"":24,""Menard's"":23,""Subway"":21,""J&H"":20,""Burger King"":20,""Snap Fitness"":20,""Wendy's"":20,""Taco Bell"":19,""Goodwill Industries"":18,""BP"":17,""Brann's Steakhouse & Grill"":16,""On The Border"":16,""CVS"":15}","[4,2,1,1,1,1,0,3,3,3,4,4,11,12,7,8,3,3,1,6,4,0,0,2]","{""Monday"":8,""Tuesday"":5,""Wednesday"":3,""Thursday"":10,""Friday"":3,""Saturday"":6,""Sunday"":0}","{""android"":17,""ios"":8}",US
