safegraph_place_id,raw_visit_counts,raw_visitor_counts,visits_by_day,popularity_by_hour,popularity_by_day
sg:3fcff9cc789f4654b3aa425d10cbe9e4,179,65,"[3,9,8,4,4,5,8,11,8,5,7,2,6,3,6,9,2,5,5,7,7,3,7,6,1,4,4,10,5,4,11]","[36,39,38,39,39,40,37,37,55,53,50,45,38,37,35,38,39,39,26,27,28,35,40,42]","{""Monday"":22,""Tuesday"":31,""Wednesday"":28,""Thursday"":37,""Friday"":29,""Saturday"":17,""Sunday"":15}"
sg:68deb43600324c8f969b8a20311452ac,9,9,"[0,0,1,0,0,0,0,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,1,2,3,3,3,3,1]","{""Monday"":1,""Tuesday"":1,""Wednesday"":2,""Thursday"":1,""Friday"":3,""Saturday"":1,""Sunday"":0}"
sg:61934e8b4bea47fa84cc0cbc2074ea98,99,86,"[0,9,4,4,2,3,2,4,4,6,2,3,4,3,2,0,9,5,3,4,2,4,1,3,4,1,3,1,1,2,4]","[1,1,1,1,2,2,1,2,9,17,25,35,31,30,36,25,16,5,5,4,2,2,2,2]","{""Monday"":14,""Tuesday"":8,""Wednesday"":11,""Thursday"":16,""Friday"":26,""Saturday"":15,""Sunday"":9}"
sg:b9ea337732cd449c9fa419845dc84387,10,7,"[0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,1,1,0,0,0,0,1,1]","[0,0,0,0,0,0,0,0,4,3,7,4,3,1,1,0,0,0,0,0,2,0,0,0]","{""Monday"":2,""Tuesday"":1,""Wednesday"":1,""Thursday"":1,""Friday"":4,""Saturday"":1,""Sunday"":0}"
sg:f895789a38e24aa1ae24ab274cade7d4,6,6,"[0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0]","[0,0,0,1,1,1,1,1,1,1,2,1,1,2,2,2,1,0,2,0,0,0,0,0]","{""Monday"":0,""Tuesday"":0,""Wednesday"":0,""Thursday"":1,""Friday"":3,""Saturday"":1,""Sunday"":1}"
sg:f05d99cc252e4bb0b80f05042e9be14b,56,20,"[1,1,2,2,4,3,4,0,3,0,1,2,0,2,2,5,0,2,3,4,1,0,0,1,1,3,1,2,3,2,1]","[15,16,15,17,15,15,11,14,15,20,13,12,15,11,10,9,11,10,7,13,15,16,18,17]","{""Monday"":8,""Tuesday"":10,""Wednesday"":6,""Thursday"":11,""Friday"":3,""Saturday"":6,""Sunday"":12}"
sg:16129bd1636d414ab5c3fcf2848603d8,31,20,"[0,1,1,0,1,0,0,1,0,3,0,2,0,0,1,0,0,0,0,1,1,0,1,3,5,0,0,2,2,1,5]","[0,0,0,0,0,0,0,1,1,1,7,7,9,5,4,1,0,1,1,3,1,1,1,0]","{""Monday"":1,""Tuesday"":5,""Wednesday"":4,""Thursday"":3,""Friday"":10,""Saturday"":5,""Sunday"":3}"
sg:45cd0fb8cf7942088a62fd4196946cd7,97,27,"[4,3,5,0,1,2,1,4,2,4,1,1,1,3,3,2,5,10,0,3,2,5,2,7,6,1,7,2,4,3,3]","[19,17,18,19,19,19,18,23,24,26,23,24,20,23,27,28,20,13,10,11,13,13,20,19]","{""Monday"":13,""Tuesday"":9,""Wednesday"":20,""Thursday"":12,""Friday"":23,""Saturday"":17,""Sunday"":3}"
sg:4bbc75b259a94286a08449853828871e,168,89,"[0,8,5,6,0,6,2,8,12,1,2,3,5,6,6,15,5,2,1,8,8,7,13,4,3,2,8,4,7,10,1]","[1,1,0,0,0,0,2,8,20,21,28,36,19,15,20,16,10,18,14,14,6,5,4,2]","{""Monday"":27,""Tuesday"":20,""Wednesday"":28,""Thursday"":58,""Friday"":16,""Saturday"":13,""Sunday"":6}"
sg:8a68708f09f948919170beb2719cfb3e,35,25,"[0,1,1,2,0,1,2,1,1,0,1,0,2,0,0,3,1,1,0,5,0,1,4,0,2,0,0,3,1,1,1]","[4,2,1,1,1,1,0,3,3,3,4,4,11,12,7,8,3,3,1,6,4,0,0,2]","{""Monday"":8,""Tuesday"":5,""Wednesday"":3,""Thursday"":10,""Friday"":3,""Saturday"":6,""Sunday"":0}"
sg:9444f16fac0b4890947b83a096994ebc,18,17,"[0,0,1,0,1,0,0,0,0,2,2,1,0,0,2,0,2,1,0,0,0,0,0,0,0,3,0,0,2,1,0]","[0,0,0,0,0,0,0,0,0,0,3,1,6,1,1,5,1,0,1,0,0,0,0,0]","{""Monday"":0,""Tuesday"":0,""Wednesday"":4,""Thursday"":1,""Friday"":5,""Saturday"":3,""Sunday"":5}"
sg:930971fe25854f25a647f94983b0059b,174,68,"[1,3,5,8,3,5,6,7,14,3,9,8,10,7,9,7,10,4,5,4,3,4,9,4,4,3,3,5,3,5,3]","[39,33,30,31,32,34,37,41,38,39,42,39,42,42,43,35,24,22,19,25,28,30,32,40]","{""Monday"":22,""Tuesday"":22,""Wednesday"":24,""Thursday"":38,""Friday"":24,""Saturday"":25,""Sunday"":19}"
sg:0df1e2dd18b044ceb500574ad7866dca,5,5,"[0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0]","[1,1,1,1,1,1,1,1,2,1,1,2,0,0,1,0,0,0,0,0,1,1,1,1]","{""Monday"":1,""Tuesday"":0,""Wednesday"":0,""Thursday"":3,""Friday"":0,""Saturday"":1,""Sunday"":0}"
sg:e0528f229cfe4d46842cf83d67fbdeca,355,204,"[1,12,5,10,4,16,19,13,17,15,7,1,11,15,7,15,13,16,1,7,12,20,16,12,3,2,13,18,16,24,14]","[4,2,4,1,2,1,6,17,64,94,105,116,128,134,119,90,57,34,13,6,4,8,10,5]","{""Monday"":47,""Tuesday"":65,""Wednesday"":57,""Thursday"":84,""Friday"":58,""Saturday"":36,""Sunday"":8}"
sg:35aa8a3e258e4e3ab5cc5357ced3abb1,223,75,"[5,8,7,5,6,5,7,6,12,6,7,3,10,8,8,9,8,6,9,9,7,7,8,5,7,9,9,2,5,15,5]","[23,25,21,24,24,24,21,22,37,55,56,53,46,43,34,40,39,34,38,31,30,25,26,26]","{""Monday"":33,""Tuesday"":26,""Wednesday"":31,""Thursday"":52,""Friday"":29,""Saturday"":25,""Sunday"":27}"
sg:eacd8c913a394c469bc1a27c5d84a254,23,20,"[0,1,2,2,0,0,1,1,1,1,1,0,1,2,2,0,0,0,1,0,1,0,0,0,1,0,2,0,2,1,0]","[0,0,0,0,0,0,0,0,1,2,2,3,2,4,4,3,4,1,1,0,0,0,0,0]","{""Monday"":3,""Tuesday"":4,""Wednesday"":5,""Thursday"":3,""Friday"":3,""Saturday"":4,""Sunday"":1}"
sg:cde07f88360c4b4d9de2697d31781111,77,27,"[1,2,1,5,3,5,1,4,4,6,3,1,1,5,2,3,5,6,2,3,2,1,2,2,0,0,2,0,1,1,3]","[21,21,20,20,21,23,25,23,24,25,24,17,17,19,12,14,8,14,8,12,19,24,22,21]","{""Monday"":11,""Tuesday"":9,""Wednesday"":9,""Thursday"":12,""Friday"":16,""Saturday"":14,""Sunday"":6}"
sg:f428ee015c7f43dc8841a1435e816365,103,66,"[1,3,3,4,1,4,13,2,4,8,1,1,3,6,2,2,2,2,0,0,14,2,1,1,1,6,2,5,3,2,4]","[0,1,0,0,2,2,1,2,2,5,10,16,30,24,11,15,8,12,15,14,9,7,2,0]","{""Monday"":9,""Tuesday"":38,""Wednesday"":10,""Thursday"":12,""Friday"":18,""Saturday"":8,""Sunday"":8}"
sg:2f761fe208e24478b2ea24a4dd068209,13,13,"[0,1,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,3,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,1,5,1,2,2,3,2,0,0,0,0,1,0]","{""Monday"":1,""Tuesday"":1,""Wednesday"":2,""Thursday"":3,""Friday"":0,""Saturday"":4,""Sunday"":2}"
sg:f78be58da4c24d0880a0a0c39f4612a9,47,38,"[0,1,1,1,0,0,4,5,0,2,4,0,0,1,4,3,4,3,3,0,2,1,3,2,2,0,0,1,0,0,0]","[0,0,0,0,0,0,0,1,2,8,10,6,7,2,0,6,8,4,5,5,6,2,2,0]","{""Monday"":0,""Tuesday"":8,""Wednesday"":10,""Thursday"":7,""Friday"":9,""Saturday"":10,""Sunday"":3}"
sg:efeb61a8f6ca4a7381a48e8d44705cff,136,92,"[3,7,10,5,3,6,10,9,3,3,2,2,5,1,4,3,2,4,2,3,4,4,4,5,8,2,5,3,3,2,9]","[8,7,2,2,2,2,1,7,14,21,19,32,32,29,26,24,18,10,7,7,10,8,6,7]","{""Monday"":19,""Tuesday"":22,""Wednesday"":23,""Thursday"":19,""Friday"":25,""Saturday"":19,""Sunday"":9}"
sg:64350312ab4c4573bc1c67fd67434d39,9,9,"[0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,3,1,2,0,0,0,0,0]","{""Monday"":2,""Tuesday"":1,""Wednesday"":0,""Thursday"":1,""Friday"":1,""Saturday"":3,""Sunday"":1}"
sg:8a60833a93de4285a17d285b021ca217,178,73,"[2,11,6,3,5,4,6,6,6,7,8,6,3,10,10,10,10,5,10,3,3,4,3,5,4,2,3,8,4,7,4]","[45,48,53,55,54,55,54,55,56,51,53,46,44,34,37,36,38,30,30,42,41,44,40,43]","{""Monday"":13,""Tuesday"":30,""Wednesday"":26,""Thursday"":37,""Friday"":29,""Saturday"":20,""Sunday"":23}"
sg:2126265086aa4c8695ab2ae9bfd78a0f,1612,1350,"[89,131,107,93,58,26,40,18,31,59,70,51,19,40,33,34,67,49,71,66,37,34,31,73,81,59,31,22,27,33,32]","[15,2,2,2,1,0,2,9,18,59,107,144,259,278,289,323,278,251,220,204,184,157,64,38]","{""Monday"":142,""Tuesday"":144,""Wednesday"":201,""Thursday"":260,""Friday"":333,""Saturday"":293,""Sunday"":239}"
sg:6e825c6db7b1428c8776da4f2db5bf2c,23,20,"[0,2,3,1,0,0,0,0,1,2,2,1,0,1,0,1,1,0,0,0,1,1,0,0,2,0,0,0,1,3,0]","[0,0,0,0,0,0,0,0,1,2,3,1,2,2,6,6,4,3,2,1,0,0,1,0]","{""Monday"":0,""Tuesday"":2,""Wednesday"":2,""Thursday"":7,""Friday"":6,""Saturday"":5,""Sunday"":1}"
sg:e9e08d31a22e40a09c81d3e627d02d54,22,16,"[0,2,1,1,0,1,1,0,1,1,2,0,1,1,3,0,0,3,0,1,1,1,0,0,1,0,0,0,0,0,0]","[1,1,1,1,1,1,1,1,3,3,5,3,0,1,1,0,3,5,4,2,0,1,1,1]","{""Monday"":3,""Tuesday"":3,""Wednesday"":4,""Thursday"":3,""Friday"":2,""Saturday"":7,""Sunday"":0}"
sg:1425f4d3afa042d59b6506a86af6594e,8,8,"[0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0]","[0,0,0,0,0,0,0,0,0,0,2,2,3,3,3,0,2,1,0,0,0,0,0,0]","{""Monday"":0,""Tuesday"":0,""Wednesday"":1,""Thursday"":4,""Friday"":1,""Saturday"":2,""Sunday"":0}"
sg:a17f04049dbf4793aac9380923e0f70b,433,364,"[21,27,17,24,21,12,14,6,11,22,16,12,7,5,10,11,11,10,15,20,12,6,6,20,22,23,15,12,6,7,12]","[3,1,1,1,1,1,1,1,4,14,37,66,65,81,68,79,79,78,55,24,17,1,1,3]","{""Monday"":54,""Tuesday"":44,""Wednesday"":49,""Thursday"":62,""Friday"":81,""Saturday"":72,""Sunday"":71}"
sg:ddfa4764907e4dea8bfc2bb192bde76c,193,117,"[4,4,4,5,4,4,6,6,11,7,11,6,7,5,7,7,9,5,4,3,8,9,7,10,7,2,5,6,4,6,10]","[43,41,41,40,40,14,16,12,10,28,29,21,29,22,20,23,21,16,5,4,34,36,43,43]","{""Monday"":19,""Tuesday"":26,""Wednesday"":30,""Thursday"":35,""Friday"":39,""Saturday"":28,""Sunday"":16}"
sg:db08265b3bdf4bfab4f7094184c1899f,42,34,"[0,0,1,4,2,2,1,2,3,1,1,0,0,1,1,1,0,1,0,4,0,2,1,0,3,1,5,0,2,0,3]","[0,0,0,0,0,1,7,7,5,6,2,1,3,4,8,11,4,1,0,0,0,0,0,0]","{""Monday"":11,""Tuesday"":2,""Wednesday"":7,""Thursday"":5,""Friday"":5,""Saturday"":9,""Sunday"":3}"
sg:c7e2e8540a2747e498d98893d0d6f9c5,1355,666,"[1,13,17,16,7,14,17,73,74,41,16,16,74,76,80,66,42,21,11,20,69,83,115,42,20,19,80,64,72,52,44]","[14,4,3,2,3,5,27,51,100,210,193,288,359,304,427,391,227,114,58,56,75,77,50,21]","{""Monday"":188,""Tuesday"":226,""Wednesday"":309,""Thursday"":320,""Friday"":186,""Saturday"":73,""Sunday"":53}"
sg:b566bbbb2f0c47cda3d95f2260fbe309,371,109,"[0,3,4,0,0,28,22,23,18,17,1,2,20,19,24,15,19,1,0,0,15,16,18,18,6,0,22,19,18,10,13]","[0,0,0,0,1,3,3,49,58,111,62,47,40,41,36,41,20,19,14,2,4,9,4,0]","{""Monday"":70,""Tuesday"":75,""Wednesday"":81,""Thursday"":64,""Friday"":71,""Saturday"":8,""Sunday"":2}"
sg:c65e66aaf7664e47b37450f761631783,320,214,"[12,12,18,17,4,8,6,9,5,7,15,9,8,5,9,12,11,15,9,14,11,14,9,10,8,12,11,14,12,10,4]","[0,0,0,0,0,0,2,4,6,7,20,29,30,34,52,64,76,62,56,45,46,23,10,6]","{""Monday"":41,""Tuesday"":36,""Wednesday"":56,""Thursday"":48,""Friday"":50,""Saturday"":55,""Sunday"":34}"
sg:3820b98d8f914cb9a7b11823a9689615,438,334,"[17,19,22,24,20,11,11,11,10,20,22,12,13,10,9,10,18,17,18,12,3,17,8,17,12,16,12,11,12,8,16]","[10,14,12,6,7,8,10,17,22,33,67,83,80,84,92,76,78,87,59,6,6,4,3,6]","{""Monday"":48,""Tuesday"":35,""Wednesday"":66,""Thursday"":55,""Friday"":93,""Saturday"":75,""Sunday"":66}"
