year,month,state,num_visits,num_unique_visitors
2020,1,ALL_STATES,1191216906,47959690
2020,1,ak,1449096,80249
2020,1,al,25858594,1068273
2020,1,ar,13352720,650685
2020,1,as,349,102
2020,1,az,25126662,1190181
2020,1,bc,115,78
2020,1,ca,114779479,5052878
2020,1,co,19963432,1016753
2020,1,ct,9914386,614305
2020,1,dc,3148597,448754
2020,1,de,2957887,220319
2020,1,fl,102865815,4373508
2020,1,ga,47766154,2155359
2020,1,gu,94214,9346
2020,1,hi,5876512,234446
2020,1,ia,12118326,688519
2020,1,id,4935363,276896
2020,1,il,45325319,2430321
2020,1,in,24909095,1348671
2020,1,ks,11581907,621812
2020,1,ky,16371389,902415
2020,1,la,20595694,979268
2020,1,ma,17697044,1094553
2020,1,md,18311750,1077394
2020,1,me,2668041,157308
2020,1,mi,31741821,1611148
2020,1,mn,17455663,961990
2020,1,mo,25617271,1318862
2020,1,mp,248,38
2020,1,ms,13414815,660525
2020,1,mt,2617310,145305
2020,1,nb,9,7
2020,1,nc,40049914,1934682
2020,1,nd,2595478,162855
2020,1,ne,7758895,423526
2020,1,nh,3845043,266510
2020,1,nj,29697213,1656455
2020,1,nm,5382854,407325
2020,1,nv,13804167,781337
2020,1,ny,59613079,3591281
2020,1,oh,42888638,2111237
2020,1,ok,18351337,864733
2020,1,or,12284378,646378
2020,1,pa,38457508,2285768
2020,1,pr,3528307,377233
2020,1,qc,94,41
2020,1,ri,2864040,203492
2020,1,sc,20945095,1045690
2020,1,sd,2660204,158145
2020,1,tn,29598585,1496485
2020,1,tx,134445118,5339233
2020,1,ut,9381569,518255
2020,1,va,28611157,1531968
2020,1,vi,10899,2126
2020,1,vt,1253415,105034
2020,1,wa,20427674,1064600
2020,1,wi,17302458,976110
2020,1,wv,5406627,354803
2020,1,wy,1538083,119488
