"safegraph_place_id","parent_safegraph_place_id","location_name","safegraph_brand_ids","brands","top_category","sub_category","category_tags","naics_code","latitude","longitude","street_address","city","region","postal_code","iso_country_code","phone_number","open_hours","date_range_start","date_range_end","raw_visit_counts","raw_visitor_counts","visits_by_day","visitor_home_cbgs","visitor_work_cbgs","visitor_country_of_origin","distance_from_home","median_dwell","bucketed_dwell_times","related_same_day_brand","related_same_month_brand","popularity_by_hour","popularity_by_day","device_type"
sg:3fcff9cc789f4654b3aa425d10cbe9e4,,Journals Unlimited the Write It Down Series,,,Book Stores and News Dealers,Book Stores,,451211,43.598869,-83.882917,701 5th St,Bay City,MI,48708,US,+19896863377,"{ ""Mon"": [[""9:00"", ""17:00""]], ""Tue"": [[""9:00"", ""17:00""]], ""Wed"": [[""9:00"", ""17:00""]], ""Thu"": [[""9:00"", ""17:00""]], ""Fri"": [[""9:00"", ""17:00""]], ""Sat"": [], ""Sun"": [] }",1583020800,1585699200,148,57,"[0,1,9,9,7,7,2,4,4,2,4,13,6,7,4,3,4,3,6,3,1,5,12,3,7,2,4,5,4,4,3]","{""260172803001"":12}",{},"{""US"":51}",4000,81.0,"{""<5"":1,""5-20"":38,""21-60"":27,""61-240"":37,"">240"":45}","{""McDonald's"":98,""Tropical Smoothie Café"":33,""Meijer"":33,""Walmart"":26}","{""McDonald's"":36,""Speedway"":24,""Meijer"":23,""Marathon"":23,""Burger King"":21,""Family Dollar Stores"":20,""7-Eleven"":19,""Kroger"":18,""Taco Bell"":15,""Buffalo Wild Wings"":15,""Menard's"":13,""The Home Depot"":13,""Walmart"":12,""Wendy's"":12,""Starbucks"":10,""Tim Hortons"":10,""O'Reilly Auto Parts"":9,""Mobil"":9,""Forward"":9,""Rally's Drive-In Restaurants"":9}","[35,34,32,34,34,35,35,41,47,47,36,31,29,30,30,36,32,31,32,30,37,36,35,33]","{""Monday"":24,""Tuesday"":21,""Wednesday"":23,""Thursday"":28,""Friday"":20,""Saturday"":15,""Sunday"":17}","{""android"":37,""ios"":20}"
sg:68deb43600324c8f969b8a20311452ac,,The Cheesecake Shoppe,,,Bakeries and Tortilla Manufacturing,Retail Bakeries,,311811,42.465752,-82.898415,23409 Greater Mack Ave,Saint Clair Shores,MI,48080,US,+15867732090,"{ ""Mon"": [[""8:30"", ""18:00""]], ""Tue"": [[""8:30"", ""18:00""]], ""Wed"": [[""8:30"", ""18:00""]], ""Thu"": [[""8:30"", ""18:00""]], ""Fri"": [[""8:30"", ""18:00""]], ""Sat"": [[""9:00"", ""16:30""]], ""Sun"": [] }",,,,,,,,,,,,,,,,
sg:61934e8b4bea47fa84cc0cbc2074ea98,,Michigan Museum Of Surveying,,,"Museums, Historical Sites, and Similar Institutions",Museums,,712110,42.732028,-84.548562,220 Museum Dr,Lansing,MI,48933,US,+15174846605,,1583020800,1585699200,43,31,"[2,5,3,0,2,1,1,6,1,4,4,3,1,0,0,0,1,0,2,0,1,0,1,0,1,0,0,0,2,2,0]",{},{},"{""US"":28}",10710,39.0,"{""<5"":0,""5-20"":14,""21-60"":13,""61-240"":16,"">240"":0}","{""Meijer"":100,""Shell Oil"":49}","{""Meijer"":60,""Speedway"":27,""McDonald's"":24,""Kroger"":23,""Walmart"":23,""Quality Dairy"":19,""Starbucks"":19,""Dollar Tree"":18,""Arby's"":17,""Biggby Coffee"":16,""CITGO"":15,""Culver's"":15,""Menard's"":15,""Rite Aid"":15,""Marathon"":15,""GameStop"":14,""Boost Mobile"":13,""Tim Hortons"":13,""Burger King"":12,""Texas Roadhouse"":12}","[0,0,0,0,0,0,0,0,3,4,14,16,12,10,7,9,4,1,0,2,1,2,1,0]","{""Monday"":9,""Tuesday"":8,""Wednesday"":5,""Thursday"":7,""Friday"":2,""Saturday"":3,""Sunday"":9}","{""android"":11,""ios"":20}"
sg:c7cc63b5f13f4cd581c2d9294e2d7631,,Insomnia Cookies,SG_BRAND_71ad970d8cd5e1ab,Insomnia Cookies,Bakeries and Tortilla Manufacturing,Retail Bakeries,,311811,42.282361,-85.622828,2905 Howard St,Kalamazoo,MI,49006,US,+12692206433,"{ ""Mon"": [[""0:00"", ""3:00""], [""10:00"", ""24:00""]], ""Tue"": [[""0:00"", ""3:00""], [""10:00"", ""24:00""]], ""Wed"": [[""0:00"", ""3:00""], [""10:00"", ""24:00""]], ""Thu"": [[""0:00"", ""3:00""], [""10:00"", ""24:00""]], ""Fri"": [[""0:00"", ""3:00""], [""10:00"", ""24:00""]], ""Sat"": [[""0:00"", ""3:00""], [""11:00"", ""24:00""]], ""Sun"": [[""0:00"", ""3:00""], [""11:00"", ""24:00""]] }",,,,,,,,,,,,,,,,
sg:ce50363be02b465497503b55d1b7317c,sg:0277677951da4e96b5e3d1859c424404,Emagine Entertainment,SG_BRAND_1e45f611b9bafb3d37a329882f431295,Emagine Entertainment,Motion Picture and Video Industries,Motion Picture Theaters (except Drive-Ins),,512131,42.490877,-83.485863,44425 W 12 Mile Rd,Novi,MI,48377,US,+12484682990,,1583020800,1585699200,551,481,"[72,8,29,19,22,52,91,70,17,33,10,16,4,34,16,2,1,1,0,1,0,0,3,0,0,0,0,0,47,3,0]","{""261251371002"":13,""261251352001"":12,""261251381002"":8,""261251386001"":7,""261251572002"":7,""261251576003"":6,""261251366003"":6,""261251330022"":6,""261251383021"":6,""261251350001"":5,""261251346001"":5,""261251367003"":5}",{},"{""US"":481}",10329,114.0,"{""<5"":2,""5-20"":49,""21-60"":69,""61-240"":408,"">240"":23}","{""Lord and Taylor"":6,""Cold Stone Creamery"":6,""Sears Home Services"":5}","{""Meijer"":37,""Kroger"":35,""Target"":27,""Starbucks"":26,""McDonald's"":22,""Costco Wholesale Corp."":20,""CVS"":20,""Speedway"":19,""Buffalo Wild Wings"":15,""Tim Hortons"":13,""Mobil"":12,""BP"":11,""Walmart"":11,""Wendy's"":11,""Shell Oil"":11,""Leo's Coney Island"":11,""Dollar Tree"":11,""Taco Bell"":10,""Sam's Club"":10,""Macy's"":9}","[32,8,6,2,2,1,1,1,7,11,32,56,72,111,113,120,134,133,123,121,150,145,94,57]","{""Monday"":33,""Tuesday"":63,""Wednesday"":30,""Thursday"":38,""Friday"":57,""Saturday"":172,""Sunday"":158}","{""android"":199,""ios"":282}"
sg:b9ea337732cd449c9fa419845dc84387,,Self Esteem Shop,,,Book Stores and News Dealers,Book Stores,,451211,42.722862,-82.692977,9568 Marine City Hwy,Casco,MI,48064,US,+12485499900,"{ ""Mon"": [[""10:00"", ""18:00""]], ""Tue"": [[""10:00"", ""18:00""]], ""Wed"": [[""10:00"", ""18:00""]], ""Thu"": [[""10:00"", ""18:00""]], ""Fri"": [[""10:00"", ""18:00""]], ""Sat"": [[""10:00"", ""18:00""]], ""Sun"": [] }",1583020800,1585699200,26,7,"[0,0,2,1,1,1,2,0,0,1,0,1,1,2,0,2,1,1,0,3,1,0,0,0,1,1,1,0,0,2,1]",{},{},"{""US"":7}",9735,340.5,"{""<5"":1,""5-20"":3,""21-60"":0,""61-240"":3,"">240"":19}","{""Lowe's"":32}","{""Meijer"":70,""Dollar General"":51,""Marathon"":41,""McDonald's"":31,""Foster Blue Water Oil"":29,""Hungry Howie's Pizza & Subs"":28,""Pilot Flying J"":27,""Little Caesars"":27,""AutoZone"":27,""Arby's"":27,""BP"":26,""Kroger"":26,""Taco Bell"":24,""Sunrise Conveneince Store"":14,""SpeedyQ Market"":14,""Flagstar Bank"":14,""VG's Grocery"":14,""Tubby's Grilled Submarines"":14,""Beacon & Bridge"":14,""Brio Tuscan Grille"":14}","[0,0,0,0,0,0,3,4,20,21,22,23,22,16,13,9,9,9,8,6,1,0,0,0]","{""Monday"":4,""Tuesday"":5,""Wednesday"":3,""Thursday"":3,""Friday"":6,""Saturday"":5,""Sunday"":0}","{""android"":0,""ios"":6}"
sg:f895789a38e24aa1ae24ab274cade7d4,,The Bread Guy,,,Bakeries and Tortilla Manufacturing,Retail Bakeries,,311811,43.417768,-83.963082,411 Hancock St,Saginaw,MI,48602,US,+19899483361,"{ ""Mon"": [], ""Tue"": [[""7:30"", ""15:00""]], ""Wed"": [[""7:30"", ""15:00""]], ""Thu"": [[""7:30"", ""15:00""]], ""Fri"": [[""7:30"", ""15:00""]], ""Sat"": [[""7:30"", ""15:00""]], ""Sun"": [] }",,,,,,,,,,,,,,,,
sg:4bbc75b259a94286a08449853828871e,,Book Cottage,,,Book Stores and News Dealers,Book Stores,,451211,42.201352,-84.436971,1901 Horton Rd,Jackson,MI,49203,US,+15177688030,,1583020800,1585699200,105,60,"[0,5,5,4,10,4,4,0,6,3,9,12,2,4,1,5,5,3,5,1,0,0,3,2,2,2,0,3,0,1,4]","{""260750052004"":6,""260750052005"":5}",{},"{""US"":60}",5058,21.0,"{""<5"":4,""5-20"":45,""21-60"":40,""61-240"":15,"">240"":1}","{""United States Postal Service (USPS)"":33,""BP"":19,""Sam's Club"":19}","{""Meijer"":37,""BP"":36,""Mobil"":30,""Sam's Club"":28,""Kelly Express Mart"":27,""Country Market"":25,""Biggby Coffee"":25,""American 1 Credit Union"":20,""Henry Ford Health System"":20,""Subway"":18,""United States Postal Service (USPS)"":16,""Shell Oil"":14,""Menard's"":14,""PS Food Mart"":13,""McDonald's"":13,""YMCA"":13,""Wendy's"":12,""Rite Aid"":12,""Marathon"":12,""Target"":10}","[1,0,0,0,0,0,1,0,13,9,8,14,7,11,12,15,14,14,16,12,4,5,4,1]","{""Monday"":20,""Tuesday"":19,""Wednesday"":18,""Thursday"":29,""Friday"":7,""Saturday"":11,""Sunday"":1}","{""android"":23,""ios"":37}"
sg:10a8cfd087fa40e1a4ed392cb0754ecc,,Keller's Farm Bakery,,,Bakeries and Tortilla Manufacturing,Retail Bakeries,,311811,42.129002,-83.446142,23888 Haggerty Rd,Belleville,MI,48111,US,+17347534360,,1583020800,1585699200,15,13,"[0,1,0,0,0,2,1,2,0,0,0,0,0,2,1,0,0,0,0,0,4,0,0,0,0,0,0,1,1,0,0]",{},{},"{""US"":12}",5336,7.0,"{""<5"":1,""5-20"":10,""21-60"":2,""61-240"":1,"">240"":1}",{},"{""Taco Bell"":65,""McDonald's"":34,""Dollar General"":32,""Menard's"":30,""Meijer"":30,""Family Dollar Stores"":28,""Burger King"":27,""Target"":24,""Speedway"":21,""Kroger"":20,""Sam's Club"":19,""Walmart"":19,""Wendy's"":19,""CVS"":18,""Subway"":17,""Shell Oil"":17,""Dunham's Sports"":15,""Harbor Freight Tools"":15,""Five Below"":15,""Advance Auto Parts"":14}","[0,0,0,0,0,0,1,0,0,0,1,1,1,3,6,2,1,2,1,1,1,1,1,0]","{""Monday"":1,""Tuesday"":0,""Wednesday"":0,""Thursday"":0,""Friday"":2,""Saturday"":8,""Sunday"":4}","{""android"":7,""ios"":6}"
sg:35aa8a3e258e4e3ab5cc5357ced3abb1,,Comic Book Zen,,,Book Stores and News Dealers,Book Stores,,451211,42.967353,-82.436729,1217 Griswold St,Port Huron,MI,48060,US,+18104983300,,1583020800,1585699200,218,90,"[13,6,5,7,6,5,4,16,11,17,9,8,6,15,4,10,5,12,3,4,4,6,9,2,8,6,6,2,7,0,2]","{""261476210003"":5,""261476220001"":5,""261476210002"":5}",{},"{""US"":83}",4759,40.0,"{""<5"":6,""5-20"":73,""21-60"":55,""61-240"":53,"">240"":31}","{""Sam's Club"":24,""Hungry Howie's Pizza & Subs"":12,""CrossFit"":12,""Murphy USA"":12,""Beltone"":6}","{""McDonald's"":48,""Meijer"":42,""Foster Blue Water Oil"":32,""Ollie's Bargain Outlet"":25,""Speedway"":25,""Sam's Club"":24,""Tim Hortons"":23,""SpeedyQ Market"":21,""Dollar Tree"":19,""Hungry Howie's Pizza & Subs"":18,""Five Below"":17,""Rite Aid"":17,""Taco Bell"":16,""Belle Tire"":16,""Curves"":15,""Burger King"":15,""Marathon"":13,""Menard's"":12,""Chase"":12,""Kroger"":12}","[28,26,21,19,16,17,19,19,23,47,58,47,34,32,37,33,39,31,26,28,27,28,27,24]","{""Monday"":36,""Tuesday"":31,""Wednesday"":36,""Thursday"":23,""Friday"":21,""Saturday"":27,""Sunday"":44}","{""android"":57,""ios"":33}"
