naics_code,safegraph_place_id,location_name,street_address,city,region,postal_code,country,phone,latitude,longitude
451211,sg:3fcff9cc789f4654b3aa425d10cbe9e4,Journals Unlimited the Write It Down Series,701 5th St,Bay City,MI,48708,US,19896863377,43.598869,-83.882917
311811,sg:68deb43600324c8f969b8a20311452ac,The Cheesecake Shoppe,23409 Greater Mack Ave,Saint Clair Shores,MI,48080,US,15867732090,42.465752,-82.898415
712110,sg:61934e8b4bea47fa84cc0cbc2074ea98,Michigan Museum Of Surveying,220 Museum Dr,Lansing,MI,48933,US,15174846605,42.732028,-84.548562
311811,sg:c7cc63b5f13f4cd581c2d9294e2d7631,Insomnia Cookies,2905 Howard St,Kalamazoo,MI,49006,US,12692206433,42.282361,-85.622828
512131,sg:ce50363be02b465497503b55d1b7317c,Emagine Entertainment,44425 W 12 Mile Rd,Novi,MI,48377,US,12484682990,42.490877,-83.485863
451211,sg:b9ea337732cd449c9fa419845dc84387,Self Esteem Shop,9568 Marine City Hwy,Casco,MI,48064,US,12485499900,42.722862,-82.692977
311811,sg:f895789a38e24aa1ae24ab274cade7d4,The Bread Guy,411 Hancock St,Saginaw,MI,48602,US,19899483361,43.417768,-83.963082
451211,sg:4bbc75b259a94286a08449853828871e,Book Cottage,1901 Horton Rd,Jackson,MI,49203,US,15177688030,42.201352,-84.436971
311811,sg:10a8cfd087fa40e1a4ed392cb0754ecc,Keller's Farm Bakery,23888 Haggerty Rd,Belleville,MI,48111,US,17347534360,42.129002,-83.446142
451211,sg:35aa8a3e258e4e3ab5cc5357ced3abb1,Comic Book Zen,1217 Griswold St,Port Huron,MI,48060,US,18104983300,42.967353,-82.436729
512131,sg:76b050acbfb346b893612506d89a475c,Celebration! Cinema,6600 Ring Rd,Portage,MI,49024,US,12693247469,42.22099,-85.598089
311811,sg:eacd8c913a394c469bc1a27c5d84a254,Gold 'N Oven,4104 15 Mile Rd,Sterling Heights,MI,48310,US,15869797300,42.549687,-83.068238
451211,sg:efeb61a8f6ca4a7381a48e8d44705cff,Lutheran Center Bookstore,16259 E 9 Mile Rd,Eastpointe,MI,48021,US,15867742831,42.464885,-82.953978
451211,sg:0df1e2dd18b044ceb500574ad7866dca,Damian Treiber DBA Radon Contractors Testing & Mitigation,721 Adams St,Quinnesec,MI,49876,US,19067743795,45.801224,-87.998545
