safegraph_place_id,raw_visit_counts,raw_visitor_counts,visits_by_day,popularity_by_hour,popularity_by_day
sg:3fcff9cc789f4654b3aa425d10cbe9e4,148,57,"[0,1,9,9,7,7,2,4,4,2,4,13,6,7,4,3,4,3,6,3,1,5,12,3,7,2,4,5,4,4,3]","[35,34,32,34,34,35,35,41,47,47,36,31,29,30,30,36,32,31,32,30,37,36,35,33]","{""Monday"":24,""Tuesday"":21,""Wednesday"":23,""Thursday"":28,""Friday"":20,""Saturday"":15,""Sunday"":17}"
sg:61934e8b4bea47fa84cc0cbc2074ea98,43,31,"[2,5,3,0,2,1,1,6,1,4,4,3,1,0,0,0,1,0,2,0,1,0,1,0,1,0,0,0,2,2,0]","[0,0,0,0,0,0,0,0,3,4,14,16,12,10,7,9,4,1,0,2,1,2,1,0]","{""Monday"":9,""Tuesday"":8,""Wednesday"":5,""Thursday"":7,""Friday"":2,""Saturday"":3,""Sunday"":9}"
sg:ce50363be02b465497503b55d1b7317c,551,481,"[72,8,29,19,22,52,91,70,17,33,10,16,4,34,16,2,1,1,0,1,0,0,3,0,0,0,0,0,47,3,0]","[32,8,6,2,2,1,1,1,7,11,32,56,72,111,113,120,134,133,123,121,150,145,94,57]","{""Monday"":33,""Tuesday"":63,""Wednesday"":30,""Thursday"":38,""Friday"":57,""Saturday"":172,""Sunday"":158}"
sg:b9ea337732cd449c9fa419845dc84387,26,7,"[0,0,2,1,1,1,2,0,0,1,0,1,1,2,0,2,1,1,0,3,1,0,0,0,1,1,1,0,0,2,1]","[0,0,0,0,0,0,3,4,20,21,22,23,22,16,13,9,9,9,8,6,1,0,0,0]","{""Monday"":4,""Tuesday"":5,""Wednesday"":3,""Thursday"":3,""Friday"":6,""Saturday"":5,""Sunday"":0}"
sg:4bbc75b259a94286a08449853828871e,105,60,"[0,5,5,4,10,4,4,0,6,3,9,12,2,4,1,5,5,3,5,1,0,0,3,2,2,2,0,3,0,1,4]","[1,0,0,0,0,0,1,0,13,9,8,14,7,11,12,15,14,14,16,12,4,5,4,1]","{""Monday"":20,""Tuesday"":19,""Wednesday"":18,""Thursday"":29,""Friday"":7,""Saturday"":11,""Sunday"":1}"
sg:10a8cfd087fa40e1a4ed392cb0754ecc,15,13,"[0,1,0,0,0,2,1,2,0,0,0,0,0,2,1,0,0,0,0,0,4,0,0,0,0,0,0,1,1,0,0]","[0,0,0,0,0,0,1,0,0,0,1,1,1,3,6,2,1,2,1,1,1,1,1,0]","{""Monday"":1,""Tuesday"":0,""Wednesday"":0,""Thursday"":0,""Friday"":2,""Saturday"":8,""Sunday"":4}"
sg:35aa8a3e258e4e3ab5cc5357ced3abb1,218,90,"[13,6,5,7,6,5,4,16,11,17,9,8,6,15,4,10,5,12,3,4,4,6,9,2,8,6,6,2,7,0,2]","[28,26,21,19,16,17,19,19,23,47,58,47,34,32,37,33,39,31,26,28,27,28,27,24]","{""Monday"":36,""Tuesday"":31,""Wednesday"":36,""Thursday"":23,""Friday"":21,""Saturday"":27,""Sunday"":44}"
sg:76b050acbfb346b893612506d89a475c,863,588,"[100,31,32,24,24,76,123,75,13,25,21,30,83,94,51,4,0,0,2,0,3,0,0,0,0,0,1,1,47,2,1]","[22,1,11,10,12,14,14,12,7,17,46,82,115,132,113,117,135,143,212,254,238,213,117,95]","{""Monday"":50,""Tuesday"":58,""Wednesday"":45,""Thursday"":56,""Friday"":160,""Saturday"":268,""Sunday"":226}"
sg:eacd8c913a394c469bc1a27c5d84a254,51,43,"[1,2,2,2,4,2,1,2,4,1,2,1,2,3,3,0,1,1,2,1,2,2,3,3,1,0,1,0,2,0,0]","[0,0,0,0,0,0,0,2,3,3,4,6,4,7,3,1,6,5,6,4,4,3,2,0]","{""Monday"":9,""Tuesday"":7,""Wednesday"":6,""Thursday"":7,""Friday"":6,""Saturday"":8,""Sunday"":8}"
sg:efeb61a8f6ca4a7381a48e8d44705cff,82,67,"[2,2,3,3,4,5,2,3,1,4,2,6,3,5,4,4,0,1,7,3,4,1,2,1,3,2,2,0,0,1,2]","[0,0,1,1,0,0,0,0,5,8,10,11,9,12,11,12,13,11,8,4,2,2,3,1]","{""Monday"":10,""Tuesday"":10,""Wednesday"":9,""Thursday"":19,""Friday"":13,""Saturday"":11,""Sunday"":10}"
