year,month,state,num_visits,num_unique_visitors
2020,3,ALL_STATES,789737092,39546806
2020,3,ab,183,69
2020,3,ak,885353,59464
2020,3,al,20014565,958901
2020,3,ar,10096256,553265
2020,3,as,396,131
2020,3,az,16998571,954689
2020,3,bc,393,172
2020,3,ca,73003136,4035365
2020,3,co,12399493,807404
2020,3,ct,5892683,437213
2020,3,dc,1769380,292210
2020,3,de,1994600,161656
2020,3,fl,67552763,3452424
2020,3,ga,33124545,1698995
2020,3,gu,73362,6583
2020,3,hi,3934715,173205
2020,3,ia,8825991,613207
2020,3,id,3411023,249186
2020,3,il,29899214,2063050
2020,3,in,16560065,1175480
2020,3,ks,8226159,517209
2020,3,ky,11401480,762779
2020,3,la,14449006,785206
2020,3,ma,10540858,874055
2020,3,md,11688421,782305
2020,3,me,1812711,127029
2020,3,mi,19705541,1276318
2020,3,mn,11416800,854220
2020,3,mo,18770809,1171172
2020,3,mp,204,44
2020,3,ms,10067065,564063
2020,3,mt,1757265,125991
2020,3,nb,5,5
2020,3,nc,27441439,1478657
2020,3,nd,1769842,124709
2020,3,ne,5749831,411648
2020,3,nh,2380244,191027
2020,3,nj,17960930,1242238
2020,3,nl,48,25
2020,3,nm,3769711,354628
2020,3,nv,8156150,550612
2020,3,ny,36493566,2673044
2020,3,oh,27765515,1770361
2020,3,ok,13559432,733135
2020,3,on,81,31
2020,3,or,7786822,495063
2020,3,pa,24147654,1772946
2020,3,pr,1916429,224732
2020,3,qc,150,56
2020,3,ri,1749938,165687
2020,3,sc,15638281,871841
2020,3,sd,1871500,135989
2020,3,sk,115,20
2020,3,tn,21093508,1237063
2020,3,tx,89482619,4337482
2020,3,ut,6930534,517591
2020,3,va,18707254,1194875
2020,3,vi,10361,1841
2020,3,vt,716584,71022
2020,3,wa,12388255,798348
2020,3,wi,11114350,761599
2020,3,wv,3773561,287956
2020,3,wy,1089377,102591
